,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,1734,0.0,0.3256,"hospital, care, family, mom, bad, life, mother, treat, admit, year",this review is a little late as it happened in 2010. but this hospital is as negligence as it could be. my grandfather passed away in 2010 in this hospital. although there was investigation run. i know for a fact the nurse my grandfather had that night was the one who killed him. she was supposed to cut his medication in half which she did not and she overdosed my grandfather. the fact he was 93 years old left me to no solution. it is so sad people at that age have no rights apparently. but from all the information i have heard nothing has changed. many doctors who have worked for this hospital throughout the years have left as well. when we contacted the hospital about the situation they honestly didn't care whatsoever they ran this fake investigation. of course the hospital being in their right. go to another hospital save your loved ones. unfortunately both hospitals in coral gables are horrible coral gables hospital is even worse. choose any other city but coral gables for hospitals it's just my personal advice.
1,1595,1.0,0.5162,"call, insurance, pay, bill, send, receive, month, service, appointment, charge","i am so frustrated by the billing company the er doctor's use. they are the most corrupt company i have ever dealt with. i cannot get anyone to help me or anyone from north austin medical center to return my calls. my daughter is medically complex and was seen in the emergency room at north austin medical center in august of 2018 and was admitted to the hospital from the emergency room. i gave a copy of her primary and secondary insurance cards when we were in the er. a few months later i received a bill from longhorn emergency medical for the fees from the er doctor. they had not submitted anything to our insurance company. i called them and they said they didn't have our cards. i gave them the information again and they said they would re-file with the insurance. i let them know i had given our insurance information in the er. and the hospital and the hospitalists all billed our insurance company and had already been paid. i thought after that call it would have all been taken care of. i didn't hear from them again until january of 2019 when i received a bill from collections for the full amount. i called the collections company and they were nice and told me they would put a note in the file that it should not have gone to collections and gave me the number to call longhorn emergency medical again. i called them and the woman i spoke to said they have the information and our card numbers in the system and she verified the information with me. then she said that in order to submit the claim they needed a copy of the front and back of our insurance cards faxed to them. i asked why they needed a copy of the cards in order to submit the claim when she had the information and she told me she didn't know. i faxed a copy of the cards the next day when i was able to access a fax machine. again, i assumed this was taken care of. then in december of 2019 i received a bill from a different collection company, ars. at this point i contacted my daughter's insurance case manager and she contacted longhorn emergency medical and ars. they were both very rude to her. she said that after being hung up on multiple times she finally got through to someone else at ars who said to send a letter from her secondary insurance showing she was covered at the time and they would remove it from collections. now longhorn emergency medical is telling us we need to submit letters of eligibility from the date of service so they will remove us from collections. they always ask for something else and are playing a game of cat and mouse with us. they had the information they needed to file a year and a half ago and now it is too late for them to file anyway. they could be honest and admit that they messed up and write it off, but instead they continue to act like i did something wrong. obviously my daughter was covered at the time of service because the hospital submitted our stay to insurance and was paid. we have had the same primary for 3 years and they same secondary for 4. our secondary insurance advised us to take legal action against longhorn emergency medical. they have caused unnecessary stress on our family and i imagine we are probably not the only ones. not to mention that it is illegal to bill us with our secondary due to the balance billing law. i lost my cool on the phone with them today in a final attempt to resolve this. the supervisor was very rude and tried telling me that they have to have copies of the cards to submit claims, that they didn't have any photos of our cards or show that i had ever sent them, they didn't have a letter from our insurance company (who called the company to tell them they didn't get billed so obviously we had insurance) and that our insurance numbers i gave them were not able to be validated. that is all an absolute lie! if that was the case insurance would not have paid the hospital. also, my daughter has been sick her whole life. i cannot tell you the amount of times i have had to give insurance information over the phone when mistakes happen. those companies always filed right away and not one of them said they needed me to fax a picture of the cards to them or have insurance send them letters. i am so tired of dealing with this. i have two very sick children tonight and my daughter will most likely end up back in the hospital again. i do not have the time or energy for this."
2,1107,2.0,0.4099,"pain, give, nurse, put, back, home, med, leave, start, night","i am from a medical background.  i fell at home and had a complete break of a bone in my arm, split right into two pieces.  an ambulance took me to bryn mawr hospital er, not my choice based on past bad experience in this er.  the pain was like nothing i'd ever experienced.  i was given a dose of iv pain medication by a compassionate ambulance crew member (narberth ambulance thank you!) they put the arm into some kind of traction in the er and the people in the bryn mawr er were not so compassionate as was the ambulance crew- they did this with no pain medication.  then they started sticking needles right into the place where my bone was split into two.  i'm embarrassed to say that i thought i was going to black out, the pain was so bad. i wished i would black out.  i was asking and asking for pain medication while a doctor or whatever he was was sticking needles into the fracture and manipulating the bones. the lidocaide he kept injecting into my arm wasn't working and was like fire inside the broken bones.   he got all irritated and said ""we can't just keep giving you pain medication""  in a really nasty tone.  i couldn't tolerate anymore of the needles and this doctor moving the bones around and so he sent me home and told me to see a surgeon in the morning.  bryn mawr hospital emergency room sent me home with my arm bone in two pieces and no pain medication!  i sat up all night in agony, terrified i was going to have a fat or blood clot go to my brain.   i wasn't able to see the surgeon until about 12 noon the next day, and had to drive myself in that state of agony and shock with no pain medication.  the surgeon was compassionate, like the ambulance crew member and gave me pain medication (thank you rothman orthopedics!)  this was not my first traumatic, horrific experience in bryn mawr hospital er.   would it have killed you to cough up pain medication for a patient whose arm bone is two pieces you cold hearted monster of a doctor or pa or whatever you were!"
3,8118,3.0,0.4132,"patient, nurse, people, call, rude, talk, treat, wife, person, hear","my husband was taken to the er there yesterday for attempting suicide. i was of course worried and shaking all night. the lady at admissions called me to get more info. afterward she asked if i wanted to be transferred to the nurses to see how he's doing. of course i said yes, especially after they told me i wasn't even allowed to go over there because of covid. when sent back to the nurses station, i told them how admissions had transferred me over to see if i can get any info on how he's doing. they said okay, they were going to get his nurse. talking to his nurse was literally the rudest person i have ever had to speak to over the phone, especially after what i had just gone through. i am not the ""can i speak to your manager"" type of person and i'm always very respectful and kind on the phone. i did not give this many any attitude whatsoever, so i'm at loss for words at how he spoke to me. he had a terrible attitude the entire time and told me how he can't give any info over the phone because it's a hippa violation. i said i was confused on what i'm supposed to do because i can't go in either. he interrupted me in the middle of the sentence saying ""i don't care whether your his sister, his wife, his girlfriend"" and i said ""i'm his wife"" he said i don't care. it doesn't matter who you are. i'm not telling you anything. i was shocked at how rude he was and with (mild) attitude at this point, said ""ok, can i please speak to someone else?"" and he said ""no. you can't. i'm the nurse in charge."" and i said ok, even if it's not someone in charge, i would like to speak to someone else because i really don't appreciate your attitude. he said ""no, there's nothing else you can do. have a nice day. bye."" and then hung up on me. i was in complete shock and broke down to my sister and sister in law who were there with me and heard the entire conversation. i have never been spoken so rudely to & coming from a nurse & in the situation i'm in !? i understand if there's nothing they can do, which i have heard around that it isn't entirely true, but besides the point. i wasn't upset that he couldn't give me info based on hippa, i was just trying to get help on what i can do? what i'm supposed to do? i've never been in this situation and i just wanted to make sure my husband was okay. at this moment i had no idea if he was, i didn't know he was on a 5150, nothing. i called back and when getting to the nurses station i asked to speak to someone else. she said she'd get me the charge nurse & then came back to the phone and said that was who i already talked to but that no matter who i talked to, they're going to tell me the same thing because it's a hippa violation. and i said okay, that's fine. i understand. i just wanted to talk to someone else because it wasn't what he said but how he said it. she continued to apologize. i told her no it's fine, it's not like it's her fault. then i asked her the same question about what i can do next.. she told me i could bring my husband his phone and he'd be able to communicate with me that way. so i took him his phone and didn't hear anything from him. i went by this morning and the lady at the front of the hospital called back & they still said they couldn't give me any info, i asked what about now since i'm here in person? she said no. she said that they said he wasn't allowed to have his phone. so not sure why they told me to bring it? she told me that he could sign a consent to allow me to obtain info about him. why wasnt this told to me in the first place!?? anyways, i finally got to talk to him a bit ago and only because he's being transferred somewhere else. when i told him what happened he said that he isn't surprised and that it seems like all of the staff there are like that. what a disgusting thing to witness and hear about a hospital! we've always gone to st.joseph and  also been to others in the area and a couple in norcal, never have i ever experienced this. the only reason he even went here was because it's the closest hospital to our new house. at least grateful to know now to never go there again!

also, if the hospital sees this. do yourselves a favor and fire that nurse. these people are here to care for others. this nurse obviously has no empathy for people. it doesn't take much effort to be considerate over the phone. imagine how he acts to people in person??

i'm also not someone who likes writing reviews like this, so the fact that i am is a big deal for me. i was not only very hurt by this, when already dealing with a lot of distress, i want to do what i can to prevent this from happening to others."
4,1433,4.0,0.4297,"nurse, make, feel, experience, time, baby, child, son, daughter, stay","delivered my baby here and i only have good things to say. it was a rough go around and i was considered a ""frequent flyer"" since i was high risk and was constantly in and out on weekly 24hr observations. they allowed my professional photographer in the room to capture our baby's birth story. i want to start with the anesthesiologist cory who did my epidural. he was great and i hardly felt a thing aside from his cold hands which i warned  him would be in my yelp review lol. they say cold hands, warm heart. cory informed me of everything that was happening and made me feel comfortable and relaxed , literally. now onto the nursing staff- with being a ""frequent flyer"" the nurses never once made me feel bad for coming and spending the night  to check on my baby- in fact the encouraged it because i was so high risk. the nurse michele that took care of me all the way up until i pushed (her shift ended)  was phenomenal. she informed me of everything  that was happening and reassured me everything would be okay because i was having a premature birth. it felt like my sister was in the room y'all! she's amazing. she even came to visit me in recovery & gave me a hug. she has so much passion for what she does and she is right where she needs to be in life. since i progressed quickly after my epidural my doc didn't make it so the laborist on call delivered me. i  didn't catch her name but she was awesome too! on the postpartum side i'd like to thank dr. abdulla and dr. lamotte for performing a frenotomy on my baby at just hours old so it didn't effect breast feeding/latching. all the staff made sure to accommodate  us with anything we needed/ wanted. they fed my hubby each day we stayed so he never once had to leave our side and they also gave us a celebration  dinner with steak, shrimp, a baked potato, a bunt cake along with two bottles of sparking cider. the kitchen staff was amazing and so kind and all the food was on point. i have nothing negative to say about my experience. i will have all my babies here in a heartbeat. thank you for making our experience unforgettable while we welcomed our double rainbow baby into the the  world."
5,8479,5.0,0.5767,"place, day, work, people, time, bad, give, make, thing, food","i want to write a review on the inpatient dining ""expressly for you."" there is a menu that you can order what you want. there are specific times that you must be followed in ensure your meal order is placed in time. i have ordered many things from the menu, overall, i think they try to be to fancy and offer too many complex meal options. when i am sick, i prefer to eat very simple things without a ton of spice or flavor. this may just be me, but here are some of my thoughts on things i have ordered. 

scrambled eggs: the first time i ordered scrambled eggs they arrived with onions and peppers. this was not expected. the next time i ordered, i specified that i wanted scrambled eggs plain without onions or peppers. this time it arrived with a garnish orange slice that spread orange juice on my eggs and rendering them inedible. if you just want eggs, order without garnish! 

oatmeal: this is a solid basic. it is pretty bland by itself, but would highly recommend adding banana slices and a packet of cream cheese. 

pimento cheese plate: this is a generous scoop of pimento cheese and served with fresh veggies and pita. i wasn't feeling up to eating much, but what i did eat was great! 

cheeseburger and fries: one night i didn't get a dinner order placed, so they brought me a late tray option. it was a freshly made burger and fries. i may have just been super hungry, but this was amazing!! 

chicken salad sandwich: this was okay. the chicken salad had too much mayo for my taste, but not bad. 

chicken tenders: there was a lot of breading, but easy to peel off.

baked potato: good simple option and can order shredded cheese and sour cream on the side.

clear liquid diet: i'm not sure much can be done to make this better, but this is rough! the tray comes with broth (i sampled vegetable, chicken, and beef), jello, juice, or flavored water. the broth was always luke warm and never appealing, but this is likely a result of how i was feeling. pro tip:  the floors stock popsicles, so that is a great alternative/supplement to the tray. 

if you miss ordering off the menu or get to your room late the floors stock some boxed meals. one night my diet was advanced from clears to regular diet late and i wanted solid food. they brought me a turkey sandwich boxed lunch. i ate the turkey (not then bread) a standard basic turkey sandwich which is a good option when the cafeteria is closed. 

things i wish were on the menu: greek yogurt. they have sugary yogurt, but i really wish there was greek yogurt, low fat string cheese sticks, plain tuna without being in tuna salad, or other high protein simple options. 

the people that take your order on the phone are really helpful and willing to get you want you want!"
6,7676,6.0,0.4506,"doctor, test, day, time, home, discharge, back, explain, result, week","during covid-19, right after the travel ban, i was on quarantine for 14 days since i arrived from europe on vacation.  during that time, i fell ill and after a few days under virtual care, my doctor advised me to go to the er.  i chose memorial hermann sugar land thinking i would get good care.  i was totally wrong.

once in the er, which was set up efficiently because of the virus, the er doctor immediately explained to me that they will not send my covid-19 test off to be tested unless i was admitted to the hospital.  his main concern was not diagnosing my problem but explaining that i would have to go somewhere else to get tested for covid-19.

i was advised to go the the er by my doctor because i was coughing excessively, barely able to breath, experiencing pain in my back when breathing and coughing, wheezing and extreme shortness of breath even with using an inhaler.  my temp stayed below 100.4 so it wasn't considered a fever.

the er began to run tests:  chest x-rays, ct scan, urine-analysis, blood-work, i.v., etc.

i waited about 45 minutes for all the test results to return and during that time, i suffered and tried to breath over and over in spite of the difficulties i was experiencing.  finally, the er doctor returned (dr. b. parker) and said that my lungs were clear and that the covid-19 swab would not be sent to the lab because i'm not being admitted to the hospital.  i stated that i understood about the swab but i didn't understand what was going on with my breathing so i asked him again about my lungs.  dr. parker repeated that my lungs were ""all clear"" and that there was no sign of the virus in my lungs. 

i asked the doctor what was he diagnosing me as having. since we know there's no sign of covid-19 in my lungs, what is it then and what was he going to give me to help me breath.   dr. parker turned the paper around and it read, ""cough - adult"".  i asked, ""so you're diagnosing me as having a cough?""  he replied yes.  i was dumbfounded.  i came to the er with a cough and shortness of breath and now the dr. was telling me that i had a cough.  wow!  

i asked him what was he going to do about helping me?  he stated that he was calling in prescriptions to my pharmacy to take but to act like i had covid-10 and still isolate.  he stated that he believed it was just an allergy infection and that these meds would clear it up.  i informed him that i don't typically suffer with allergies and that i had been taking zyrtec because the virtual doctor i spoke to recommended it but i wasn't getting any better.  he reemphasized again that the test would not be sent and that if i wanted a covid-19 test, i needed to go to another site.  i asked about an antibiotic to clear up the infection and he said the meds he prescribed would clear up the infection.  i later learned that the meds were regular over-the-counter stuff that i had already been using that wasn't effective:  tylenol, mucinex and claritin-d.

i believe dr. parker's only concern was covid-19 and not finding the real source of my problems.  i asked my discharge nurse again about my lungs being ""all clear"" and she said well they are not all clear and that they had a haze over them.  i asked what does a haze mean.  she informed me that the doctor believes the haze is possibly from a bacteria infection from allergies so he's prescribed some meds to help.  i again said i don't suffer with allergies but ok the pollen is high so i guess.  

i was discharged and walked to my car still struggling to breath just the same way as i walked into the hospital.   

that was saturday, march 21st. fast forward to wednesday, march 25th and i was not feeling any better, in fact, i felt worse. i called my doctor both the 25th and 26th and left messages. her nurse called my back on the 27th and informed me to stop taking all allergy meds immediately and that she had reviewed the labs and x-rays and they believe that haze over my right lung is pneumonia.

pneumonia?!!  so i had pneumonia in the right lung for an additional 6 days without any treatment?!  why would dr. parker say i was ""all clear"" and ignore the haze?  i had to take additional time from work to heal whereas if dr. parker would have just taken the time to explore my results for something more than covid-19, he could have treated me correctly and i could have returned back to work without taking additional time.  

lastly, once i got the bill, i saw that i was billed $273.50 for a pregnancy test!!!  the admitting nurse asked if there was anyway i could be pregnant, i immediately answered no and explained why i couldn't be.  so why would you give me, a 49 yr old woman with a valid reason a pregnancy test?  especially for $273.50.  over billing???   yes!

i will never go back to memorial hermann sugar land emergency room.  the care of the treating physician was below sub-par and i could have saved way more time and money going to another facility."
7,456,7.0,0.3635,"room, wait, hour, emergency, minute, check, back, time, sit, leave","emergency room only! slow service in emergency room. it say 2-3 hours wait but it is 5-8 hours wait. i am so mad that night that i went to bring my son. we waited for 5hours outside and we waited again inside to see the doctor it took so long. we wait for nothing. my son is sick and very tired to wait for so long. parents and children fall asleep outside already bcoz of a long wait. 
i will never ever come here in their er again. it is so ridiculous that all people they dont complain for the very long wait. they can go to the other er and the line is moving unlike here u wait outside and u still wait inside forever. never go to this er you will wait forever! it is vere uncomfortable for children to wait that long specially they are sick!"
8,2876,8.0,0.3657,"staff, care, good, surgery, great, experience, professional, team, nice, friendly","we live in las vegas but it was necessary for us to have a surgical procedure performed in san diego at sharp memorial. from the time we walked in the door, our experience exceeded all expectations.  the staff was helpful, friendly, and professional.  the hospital was beautiful with a clean, uplifting, inviting atmosphere.  everyone from the cafe employee to the rn was so kind and very professional.  we especially appreciate chris, michelle, carol, bethel, albert, and brandon (rns, recovery, transport), and of course, our anesthesiologist and dr. dente.  the care we received was excellent.  everything was according to schedule, and throughout the whole experience, the staff took great care of us; extremely attentive, positive, reassuring, available, and happy to assist.  everyone seemed very happy to work there; no one seemed stressed, overwhelmed, or grumpy (we know hospitals can be very  high-stress environments with heavy workloads).  the procedure went quickly, smoothly, and was successful.  we are grateful for the excellent care we received at sharp memorial, and we will never forget your kindness."
9,3650,9.0,0.5947,"patient, medical, facility, treatment, care, state, request, provide, health, refuse","i requested restrictions on the uses and disclosures of my personal and medical records:  ""all of my personal and medical records.  all people and companies except myself, son and daughter.  i will never seek treatment at any ascension facility again.""  having rational communications is virtually impossible with ascensions' employees.

ascension denied my request to restrict use of my protected health information (phi) ""in order to provide our patients the best care possible"" ... allow your providers to securely search your healthcare records"" ... ""to guide your care"" ...  ""have access to all of your healthcare information"" ... ""clearer picture of your overall health"" ... ""better to provide you care"" ... ""treatment of you"" ... ""if we restrict your medical records"".  

if i am never going to have ascension provide treatment again, why did ascension justify denying my requested restriction based on providing my care?  maybe they assumed i have no control over who provides my care.  i have numerous non-ascension in-network doctors and my primary-care doctor has no control over where i go.

i appealed ascensions' denial stating, "" it is obvious your rejection was based on your absolutely false assumption that i will ever have any relationship with any ascension provider under any circumstance.  no ascension provider will ever have any need to access my five visits.  if any non-ascension provider needs to access my seton medical records, i will provide them.  i have all 425 pages."" 

guess what?  ascension denied my appeal.  ascension denied my original request for restricting use and disclosure of my phi so ascension could provide better care for me, even though i also stated i would never go to an ascension provider again.  in denying my appeal, ascension never once mentioned the argument they used in denying my original request.  instead, they threw out an argument that has absolutely nothing to do with my original request or my appeal ... an issue i never mentioned.  ascension stated, ""due to state and federal record retention laws and other legal considerations, ascension is mandated to maintain medical records.  therefore, we are unable to restrict your medical records ...""  ascension either does not know the difference between maintaining and accessing or it is playing games.  i have 3 books in my desk that i have never opened and never will because the subjects are irrelevant to my life ... analogous to maintaining, but not accessing my phi.  why does ascension not understand?  since i will never be treated by ascension again, why does it need to access my phi?  maybe ascension just cannot find its butt, even if it uses both hands."
