,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,157,0.0,0.3526,"time, hospital, visit, emergency, heart, problem, person, covid, year, find","this is long but bare with me. this place stereotypes people with mental health history. this is strictly for their er doctors and er intake nurses (some). i have past heart problems which were corrected in high school. i was feeling close to the same way the first time i had my heart episode and went to the er in mid november. i went in for heart palpitations, shortness of breath, extreme lethargic about to pass out feeling, and weakness. when i was taken to the er by my boyfriend, because who wants to call an ambulance on their lunch break in their work parking garage and drawl that kind of attention to themselves, when i got there, the intake nurses literally did not fucking care i existed as a human. it took the nurses or security guards who help wheel people in and out to tell them to open the door and let me in. the er intake nurse didn't give rats a$$ that i couldn't breath well, didn't pay attention to my boyfriend who was literally handing her an emergency card i keep in my wallet of all my allergies and medical history. my boyfriend told them my symptoms, they didn't even think about hooking me up to a ekg until i was in the er exam room, which if i can remember correctly was about 15 to 20 minutes after i arrived. the nurses were ok that day and the nurse who put my iv in kept moving it because she couldn't get the blood out...ok we'll go somewhere else?! so much pain while feeling like i could pass out. 

next the doctor comes in. talks about my symptoms, some history, so on. the moment i mentioned i was on an anti depressant with past history of anxiety, it switched his questions. it went from asking about how i was feeling physically to asking me if i was stressed, or sad, or anxious...so on with the other related questions. look, doc, i know the difference between heart problems and an anxiety attack, this is not an anxiety attack. so instead of ordering more tests he gives me an anti anxiety med, and let's me chill out for an hour or so. of course a anxiety med like xanax is going to chill me out and slow down my heart and breathing. been on them before in high school and anyone who has a friend in their residency at a top tier hospital can tell you, ""yea that med is going to make your heart slow down and relax any symptoms."" never once consulted a on staff cardiologist or offering to wait to have one come down because of my past history. given my previous heart problem, if anyone remotely understands the heart knows that things can come back and not in the same way as before!!! after this i was discharged and told if i have any more symptoms to come back. 

the next day and a half i slept, no joke, 18 hours out of a 24 hour day. i could still feel heart beats skip, still had shortness of breath just doing small things like going up stairs or even getting up to go to the bathroom. i didn't want to eat or even talk. so after a day and a half of not feeling like a functioning person, i went back.

this time the intake nurses took me seriously, hooked me up to ekg right away, and got an iv in me right away. this doctor took me seriously and ordered a ct with contrast to check for blood clots and did a few blood pressure tests based on laying and standing. everything came back normal. the moment i knew she looked at the most recent visit, started the, ""are you sure you're not anxious,"" questions came out. in my head i'm thinking, ""are you flipping kidding me?! does no one take me seriously?!"" the one thing i will never forget the doctor saying to me is, "" if you are feeling bad and don't get answers the first time, you shouldn't come back to the er. go see the doctors we referred you to the first time."" i'm sorry what!????! i was literally doing what the discharge papers said. it's not my problem ( well kinda is if i die from not well examined heart issue) if you didn't exhaust all your resources to help or passed me along because you gave up. i started to cry. the only person who gave me hope was the nurse. she literally ask me, ""do you feel safe to go home?"" i flat out started crying, and said no. and told her i would never return here for any emergency. i told her i rather drive to a further hospital and die on the way, than come to this hospital again. she took that seriously and comforted me. i was discharged sent home waiting to see a cardiologist 2 weeks later. 

that cardiologist was pissed no one consulted a cardiologist on staff. i got an eco, heart monitor for a week, and a stress test, i have a problem with my sinus node and will need to have surgery. something that could have been solved and found in that moment if someone didn't profile me as a depressed anxious person!!! 

seriously, tell your doctors to stop stereotyping people with mental health problems. stop thinking that someone with a valid history of cardiac problems and a mental health past is just making it up and is just ""anxious."""
1,479,1.0,0.2924,"make, feel, nice, kind, time, amazing, good, friendly, wonderful, covid","i had a laparoscopic bilateral tubal ligation. after waiting more than a decade i finally found dr.ahad who took me seriously and performed the surgery. he did amazing work.  one of the kindest most empathetic doctors i've ever had the pleasure of meeting. 

the hospital itself was well prepared and maintained social distancing, took temperature and required masks. i was a bit nervous due to the pandemic but i felt i was in good hands once i went into the lobby. 

ida worked incredibly fast and was friendly during registration as the new restrictions caused time delays and she was the only one doing check-ins. 

the hospital itself was clean and all the nurses were incredibly kind. nora and nabiha both were wonderful, they chatted with me in a way that calmed me down. but really all the nurses were amazing. when i came to, i felt a bit confused, i had  what felt like strong menstrual cramps and since i'm fairly blind without my glasses i started to panic. a very nice and kind nurse who i couldn't see was able to calm me down and stopped me from trying to put pressure on my lower abdomen which is what i usually do with cramps. confusion + pain + inability to see is a bad combo. i'm grateful to her for not allowing me to hurt myself. 

i can't say enough nice things about my experience. i'm always a bit scared going into surgery but the staff at this hospital are phenomenal, i recommend getting an outpatient procedure here."
2,111,2.0,0.3112,"staff, care, patient, facility, love, provide, medical, professional, pandemic, nursing","my husband has been a patient at mj several times. the first time, mj was an independent facility. therapists and nursing staff were both wonderful; efficient, well-trained and competent, very caring, and seemingly happy in their positions. in 2018 northwestern bought the facility. the facility has become very ""corporate."" while the therapy is still top-notch, the staff has taken on a different attitude toward their patients and their jobs. they are no longer caring and friendly; those traits enhance the patient and family experience and speed the healing process - lack of those traits make the patient want to get out of there before they are actually ready. the nursing staff, particularly the night shift, are ""businesslike"" to the point of being rude. the medical staff is also poor, at best, in communicating with patients and family and seem incompetent in following the discharge orders of the hospital from which the patient came, even to the point of simply ignoring the medication orders without informing the ordering physician or the patient/family. 
i am so disappointed that a superior facility like marianjoy would ""sell out"" to the corporate world which is taking over so much of medicine today. i would still return to mj strictly for the therapy, but i am certainly not happy about the new atmosphere and i honestly don't know if i would blanketly recommend the facility as i once did. 
i find that outpatient therapy at a dupage medical group facility is as good if the patient is capable of doing op therapy.
of course, there are still several staff members who maintain the old fashioned bedside manner and at least try to go above and beyond in patient care, but even those seem to be ""afraid of breaking corporate protocol."""
3,458,3.0,0.3856,"pay, visit, work, appointment, insurance, bill, month, charge, service, money","warning.  good samaritan is quick to send outstanding balances to a collection agency, with little to no effort in collecting outstanding balances beforehand. 

my 90 year-old mother, with limited english and fixed income/resources, had a pre-scheduled outpatient cataract surgery at good samaritan hospital late 2019. although it is common best practice in scheduled surgeries, good samaritan apparently did not collect the $125 co-pay during the pre-registration process. 

with little to no effort to collect the co-pay, good samaritan sent the account to a collections agency. as i've read in other yelp reviews, that may be their standard practice for processing accounts receivables, rather than expending minimal effort in working with patients on outstanding balances. they make up for their short-comings in their accounts receivable process with aggressive action, displaying little compassion, even during a pandemic. 

fortunately for my elderly mother, a bad credit rating will not affect her life, but if you are concerned with maintaining a good credit rating, i strongly recommend choosing another hospital that will make a minimal effort in collecting outstanding balances before sending your account to a collections agency. it could have a severe, negative impact on your credit rating."
4,939,4.0,0.5586,"hospital, give, thing, husband, food, horrible, order, time, bad, absolutely","i want to write a review on the inpatient dining ""expressly for you."" there is a menu that you can order what you want. there are specific times that you must be followed in ensure your meal order is placed in time. i have ordered many things from the menu, overall, i think they try to be to fancy and offer too many complex meal options. when i am sick, i prefer to eat very simple things without a ton of spice or flavor. this may just be me, but here are some of my thoughts on things i have ordered. 

scrambled eggs: the first time i ordered scrambled eggs they arrived with onions and peppers. this was not expected. the next time i ordered, i specified that i wanted scrambled eggs plain without onions or peppers. this time it arrived with a garnish orange slice that spread orange juice on my eggs and rendering them inedible. if you just want eggs, order without garnish! 

oatmeal: this is a solid basic. it is pretty bland by itself, but would highly recommend adding banana slices and a packet of cream cheese. 

pimento cheese plate: this is a generous scoop of pimento cheese and served with fresh veggies and pita. i wasn't feeling up to eating much, but what i did eat was great! 

cheeseburger and fries: one night i didn't get a dinner order placed, so they brought me a late tray option. it was a freshly made burger and fries. i may have just been super hungry, but this was amazing!! 

chicken salad sandwich: this was okay. the chicken salad had too much mayo for my taste, but not bad. 

chicken tenders: there was a lot of breading, but easy to peel off.

baked potato: good simple option and can order shredded cheese and sour cream on the side.

clear liquid diet: i'm not sure much can be done to make this better, but this is rough! the tray comes with broth (i sampled vegetable, chicken, and beef), jello, juice, or flavored water. the broth was always luke warm and never appealing, but this is likely a result of how i was feeling. pro tip:  the floors stock popsicles, so that is a great alternative/supplement to the tray. 

if you miss ordering off the menu or get to your room late the floors stock some boxed meals. one night my diet was advanced from clears to regular diet late and i wanted solid food. they brought me a turkey sandwich boxed lunch. i ate the turkey (not then bread) a standard basic turkey sandwich which is a good option when the cafeteria is closed. 

things i wish were on the menu: greek yogurt. they have sugary yogurt, but i really wish there was greek yogurt, low fat string cheese sticks, plain tuna without being in tuna salad, or other high protein simple options. 

the people that take your order on the phone are really helpful and willing to get you want you want!"
5,95,5.0,0.3503,"pain, surgery, blood, give, hour, back, nurse, stop, med, home","i had my first kidney stone experience ever and was in so much pain i decided to call the ambulance to help take me straight to the emergency. worst mistake of my life...
3:00pm: the austin ems ambulance is a joke taking more than 30 minutes to arrive to pick me up, two heavy built male medical ems staff took me into the vehicle and started interviewing and collecting my information, taking their sweet time parking at one place not driving me to the hospital for another 30 minutes. i have to beg for pain meds and they gave a shot for it but poorly directed the needle causing me unbearable pain i literally scream from so much pain!
4:30pm: the ambulance arrived at st david's south austin er walk-in, to my surprise i did not immediately get to see the doctor but had to wait in line to be checked in! omg, the torturous wait and the unbearable pain. i asked if i can have a bed to wait, no, sitting hurts me so much i cried the whole time waiting...
5:30pm: i had to go the bathroom and they called my name finally but i was in too much in pain to run out so i crawled out slowly and they told me i have to wait again because they skipped me! why did they not check the bathroom???
5:50pm: they called my name i thought i was finally saved, but a nurse took me inside a chair just to collect my insurance info and gave me a name tag, then sent me back out to wait some more. i begged for more pain meds as the old pain meds worn out, no, they cannot give me any meds until i see a doctor...at this time i'm heavily considering laying on the floor due to so much pain. i threw up 3 times in the bathroom and was heavily dehydrated, i begged a nurse for some water, he said he will go get me some, he never came back...i had to drink some water from the bathroom sink to stay alive. i continued crying in pain waiting and no tears came out since i'm so dehydrated....
6:50pm: they called my name again i thought i was finally saved again, but this time they took me to a chair to put iv on me to draw my blood and get urine test only. the nurse lady was so incompetent she had to poke me twice to find my vein, the first time she was probing with the large needle giving me excruciating pain while watching how incompetent she was. she continued to probe me the second time i felt like i should just die already, blood splatters everywhere and i saw old blood stain under the chair...still refused to give me water but agreed to give me pain meds finally. i beg for a bed, no, they have no bed available and i have to continue to wait in the waiting area. i got fever chills after all the blood drawn and beg for a blanket, no, they can't give me blanket to prevent contamination...no water, no blankets, no ability to lay down, no time frame to see doctor, constant excruciating pain, i was ready to just die...
7:30pm: finally got a bed, right out in the hallway with a number on the hallway wall. still not allow me to drink any water, a new nurse came to take more blood samples from me, poking and probing at my small veins at multiple places half jokingly complained my vein was so tiny (i'm so dehydrated of course my vein is tiny!!!). gave me ct scans, and concluded i got kidney stone...
10:00pm: gave me some prescription drugs, made me signed a bunch of forms to pay medical bills when it comes and dismissed me...

i've never been treated so badly in my life! 5.5 hours of torture! austin ems and this er sees me as nothing but a number and an object to poke at and probe without feelings...gravely disappointed at the american health system, and to say we are fully prepared for covid19, what a joke!"
6,691,6.0,0.3001,"people, mask, patient, hand, walk, employee, line, front, wear, face","i just went to the 24 hr. pharmacy & was incredulous to find that not only were patients & visitors not being required to wear a mask, but neither are employees. the employee controlling the number of patients entering the pharmacy was not wearing a mask & was not staying 6' away from patients who were going into or leaving the pharmacy. at the counter most of the pharmacy employees were not wearing masks. when i exited the building there were 2 employees attending patients in wheelchairs, neither of whom was wearing a mask. one of the patients was elderly. when i asked 2 of the employees i encountered why they weren't wearing a mask the response was they don't have to. another employee expressed upset w the fact that so many people weren't wearing a mask. great health protocols kaiser. you congratulate your ""heroes"" of the pandemic while you expose your employees & your patients to it."
7,1006,7.0,0.3329,"place, work, people, life, medical, die, save, live, talk, joke","this breaks my heart. what use to be a place for kids to feel safe and loved, a place where even though they are going through some really hard stuff they could still be kids. a place filled with love, toys, hugs and kindness. a place where you could see everyone's beautiful faces and smiles. but now it's a place of fear and government control. a place where you can't play with toys to get your mind off of the tests that are about to take place. a place where no one smiles. a place without hugs. the damage of social distancing and masks will have far greater consequences than covid. what this hospital is choosing to do isn't about keeping kids safe. i hope that one day the board will restore all the joy this hospital once had. i hope the toys and stuffed animals come back! i hope we can one day see people's smiling faces again! and above all i hope that fear will be replaced with great big giant hugs again!

this hospital gets 5 stars for the care my child received before the hospital allowed covid to instill fear here. the staff has always been excellent and very kind. it breaks my heart how depressing this place is now. 

the two stars are for the depressing environment that they have allowed into this once alive hospital. please make this hospital a great place to be again! please bring back the joy!"
8,445,8.0,0.4656,"nurse, baby, day, time, son, child, week, stay, delivery, check","first off i want to start by saying any mamas out there who are going to deliver at mountainview please please enjoy your pregnancy and try to get to full-term not only is it hard delivering during the pandemic because you cannot have family there but everyone is in a panic and a frenzy and they're pulling people from different areas to come in to labor and delivery post partum nicu nursery who don't usually work there so it's kind a like everyone's running around with their heads cut off. i delivered my babies and i had a very successful labor and delivery i had many different nurses so i won't speak on that but my doctor who is usually based at centennial was amazing and he made the experience 10 times better my babies were born 35 weeks and three days mountain view's policy is any baby who was born before 36 weeks goes to the nicu while we stayed at the nicu we both(parents)got 
 to stay because we had two babies the policy during the pandemic is only one parent per baby my babies never needed a nasal cannula never needed temperature help never needed a feeding tube or any other assistance the only job the nurses had to do is feed them and change them we stayed at the nicu for 10 days reason being is the babies had to have up there cc every day and have two consistent days of weight  so those first 10 days their weight fluctuated many times and because we have a toddler at home we cannot be there for all eight feedings they had many nurses who aren't usually in the nicu feeding our babies i expressed my concern to the doctor saying maybe they're having difficult feeds because it's a new person every few feeds every time i fed my babies they fed perfectly fine when they finally had two days of weight they could come home and we were sent to see our pediatrician the pediatrician recommended that we do not wake our babies up every three hours as they show that they can gain weight. i was relieved when we got good results from our pediatrician and also ecstatic to not have to be at mountainview's  nicu during our stay we had many nurses who were not friendly this was a very hard time for me not only did i have two babies but i had two babies who could not come home also there were nurses who were dealing with other sickly babies who were constantly tell them to stop crying and that they were fine and it really did not put me at ease when i had to leave my babies. there was an incident that happened with my baby baby b still to this day she has a reflux problem or maybe it was just her learning how to drink the milk and let it digest but she fed there and it was probably 2 1/2 ounces they laid her down and she was quiet difficult to burp at first  so she had not burped and they laid her down she then spit up and choked on the spit up and no one knew until the alarms went off beeping saying that she couldn't breathe after that they did prolong her stay because they have a policy if you go without breathing you have to be monitored for three days but she never needed any type of feeding tube after that or any type of oxygen mask after that because it was due to her spitting up and choking on her spit up it was really unnerving leaving my kids there because i know that she spits up and i sit and hold her up for an additional 15 to 20 minutes but i can't trust somebody else especially nurses who just want to sit and gossip in the corner like many times when i was there. this post may be clouded with the emotions because i had just had two babies who are doing excellent now and they really had a hard time discharging us until a baby that was born at 24 weeks had to come in and then after that they pushed us off into a procedure room and told us to get our baby but i am just saying this to say if you have to deliver here relax and get your baby to full-term so that you can be discharged because i had a awful nicu stay at mountain view i felt like no one really cared and i felt like we truly didn't need to be there i felt like it was about the money due to the fact that we are in a pandemic. also i tried to contact the nicu manager many of times about how i felt like my daughters are being treated but i never got a call back which is why i am leaving a review saying that i felt like the nurses weren't adequate they had a few good nicu nurses but only once a day they were never really rotating well and i wanted to mention that my girls were 5 pounds and 2 ounces in 5 pounds and 15 ounces pretty healthy girls all i'm saying is if you have another option to go to a different hospital do some research and give it a look"
9,979,9.0,0.2077,"hospital, treat, bad, virus, treatment, star, patient, infection, woman, mind","5/3/2020: the vancomycin antibiotic is working well, and this infection [below - i keep catching in hospitals] has a few bad aspects, but a weird one is what was the very bizarre, intense smell of my poop, and since treatment is always delayed and they know a surgeon mutilated me down there, it feels like they want me to be a real stinker. the smell is finally gone. geez!

update 4/28/2020: clostridium difficile [c. diff.] infection was confirmed, and i tried to get help from mid-february to almost may now. i'm on vanco which worked before. people like me need to avoid hospitals; this is my third such infection with delayed reaction combined with staff mistreatment.

to deal with these hospital-caused infections i have to buy more supplies to deal with it. would they ever pay for that or any of my unavoidable healthcare-related expenses? having to buy gas to get to non-abusive, far away healthcare? suddenly it's cheaper but still.

the night before easter 2020: now in the midst of coronavirus spread, i saw on abc news a virus survivor here being cheered by staff as they left. on one hand it's heartening to see how they can treat patients who they don't have catholic homophobic hate for, and on the other it even brings up envy as the true cardiac-endangering/psychological torture sessions (plus the ""cracker"" comment by an employee and the physical strike) they gave me were in radically stark contrast. with a place like this you can't be a 'wrong guy' target for whatever reason.

https://www.dailybreeze.com/2020/03/26/little-company-of-mary-found-negligent-in-death-of-redondo-beach-patient/

https://drive.google.com/drive/folders/1cqz4y8ai1u2gtycyzhnti9mxexcxq2cm?usp=sharing

https://drive.google.com/drive/folders/1_sf6udqwytwhjb9s8xyg0xb1hol3ymss?usp=sharing"
