,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,448,0.0,0.374,"wait, hour, room, time, call, emergency, check, minute, back, long","emergency room only! slow service in emergency room. it say 2-3 hours wait but it is 5-8 hours wait. i am so mad that night that i went to bring my son. we waited for 5hours outside and we waited again inside to see the doctor it took so long. we wait for nothing. my son is sick and very tired to wait for so long. parents and children fall asleep outside already bcoz of a long wait. 
i will never ever come here in their er again. it is so ridiculous that all people they dont complain for the very long wait. they can go to the other er and the line is moving unlike here u wait outside and u still wait inside forever. never go to this er you will wait forever! it is vere uncomfortable for children to wait that long specially they are sick!"
1,6715,1.0,0.4151,"patient, care, mom, family, mother, life, staff, medical, die, facility","i need to write this report to warn other people. specifically to warn girls and women. 
i had a sart test completed a few weeks ago and the only health system and hospital that provides the sexual assault response test dna collection testing for north county san diego, ca, is palomar health center in escondido, ca. i am in what is considered a minority ethnic group. i had the test completed, and during the whole process, my private parts were physically violated by the sart nurse that was on duty at that time. my vaginal areas were physically assaulted and violently ripped at with the medical tools and up into all of the anatomy of vagina and that includes all of the areas, including the most excruciating places. a part of my vaginal area was molested as well. there were other parts of my body that were offended as well. this all occurred after i was sexually assaulted already. i was groomed and intimidated by this sart staff individual within that 24 hour time frame. i was not told that i could reject any part of the sart kit dna collection that i decided that i did not want to do. a patient is able to reject any part of the sart kit dna collection exam that they want to not have occur on their body, including any or all pictures. i have not received confirmation that this staff person has been removed from the staff of palomar hospital in escondido. i have not received support after this assault occurred, i was refused several times medical confirmation about the physical trauma that happened to my private areas, specifically the area with the most nerves that was inflicted with the most damage. several weeks have passed and i still have physical trauma to my private areas and the only treatment that i have been able to receive, has been whatever i can do for my own body and that should not ever occur. i have been denied my collected dna results up until right now, i have been rejected for assistance from anyone who would help me to receive justice, i have been attacked on a very large scale, it is a group effort and it is keep away inflicted upon me, keeping me away from stable income without any threat of false accusation of false statement by the institutional financial system, keep away from affordable housing for a person who is forced out of the job market on purpose, who has less than what is required for the inflated cost of living in north county, trapped out of justice, as every legal system sides with the predators, aware that the victim can not even afford to get away from them and not questioning the predators or removing them from societal contact, after they are aware of the offenses, apparently even refusing to complete the sart testing correctly and then refusing to confirm the results after the victimized twice person, who has submitted to the will of god, complains rightfully about what occurred, after they were assaulted by the sart nurse. i want women to know. i want them to be aware about what could possibly happen to them. i feel guilty that i waited this long to write something. i have been followed two different males three different times, in two different vehicles, in a violent and threatening way, after these horrible assaults have occurred. i am also aware of other serious offensive problems that have not been resolved as well. i am not saying that palomar is responsible for the threatening aggressive following by males in vehicles issue. obviously, that is intended to threaten me. i was concerned about certain aspects about these details also.
please be careful. they said that there is a pediatric sart test kit and nurses. that is concerning. these tests are needed for innocent men, women and children to receive justice and healing for their body and it is a legal process, that should be treated in a professional and respectful way for all ethnicities and diversities of victims that need treatment. 
palomar has locations over a wide range of zip codes in san diego county, ca and when you have to approach a major circumstance that has occurred at a affiliated aspect of this health care system, and you are most likely viewed as a problem, because you complained, and you might need care from one of the several facilities, that intimidates and silences the victim. people threatened when their life could be affected and physical comfort if they complain and there is an unexpected accident within the zip code of that facility. 
i just wanted to add that. please be careful about others who are around you, it is a different place now."
2,7930,2.0,0.4823,"make, feel, nurse, time, experience, baby, care, child, son, give","i write this not only as a mother that has birthed three babies at mission bernal but also as a doula that has supported countless clients both at mission bernal and other bay area hospitals. the care provided by the mb team is simply unparalleled. every prenatal appoint i was treated like i was the only patient they had to see that day. i was warmly welcomed and my questions were always answered thoroughly, never rushed. i had an uncomplicated beautiful birth my first time around so going there for my second pregnancy with twins was a no-brainer.  during the delivery of my twins, after delivering my fist twin vaginally, there were complications with the second twin and it looked like it might go to a c-section. pemberton and norell were simply amazing. they managed to deliver the second twin vaginally as well. i think the most important take away from my experience is that i felt like an active-participant in both my births.  i felt safe, heard, supported, and empowered. i felt like the midwives genuinely cared about my physical and emotional well being- probably because they did! even at the end, when i felt like i couldn't go any longer, they made me believe that i could- and i did! they trust the birth process and a woman's ability to birth, and they help their patients believe it, too! surly this factors into their low intervention rates! i love the mb team and sing their praises at every opportunity. 
now, putting on my doula hat... i have seen so many beautiful births at mission bernal that would've been a c-section anywhere else. again- they trust the process. in the last 2 years i've had over a half dozen clients leave cpmc van ness to get care at mb. all i say is, ""go meet the midwives, check it out"" and the rest is history.  cpmc van ness is very high intervention and not big on informed consent. in the birth community they have a reputation for bullying patients into unnecessary interventions and early inductions. mb midwives on the contrary, give our clients a voice. they empower our clients and make them feel safe. i think the reason so many clients switch from cpmc vn to mb is not just bc of the appealing intervention statistics but bc mb staff makes you feel like family- warm, loving and invested."
3,2069,3.0,0.4444,"nurse, day, test, night, stay, room, blood, husband, bed, discharge","zero stars!!!  let me preface by saying the team in the er was amazing in treating my husband. it was when the decision was made to send him to their emergency department observation aka edo the nightmare began. while in his room in the edo that evening after spending all morning and afternoon in the er, he was greeted by his nurse, which she was nice. i had not left his side all day since we arrived at the er at 6:30 am-nor had i anything to eat or drink all day. in the edo they were quick to offer my husband anything to drink from the nurses station but not once asked me if i would like a drink. i even asked where i could get something to drink and they told me i could go to the cafe downstairs but they weren't even sure if it was still open. i didn't leave his side still. it was later that evening when i was leaving to let my husband get some rest that i asked the nurse if there was a cut off when i couldn't return to be with him. she informed me that the nighttime charge nurse was very strict about any noise after 9 pm because the doors that open to let you into the edo make noise. i returned the next morning at 5:45 am and when the door opened it was like a nurse christmas celebration was taking place. lots of loud talking and gossiping. my husband had to listen to the patient next door who was barfing all night and the staff kept giving him more to drink and he would barf even more.when i got to my husband's side he informed me the nurse that he had overnight smelled of alcohol. smh!  when i was in his room, the conversations between the staff in the nurses station and in the hallway were very very unprofessional. how this one and that one called out and how lazy they were and they are expecting them to do their job too. suck it up buttercup-it's called being part of a team. many of these nurses seemed like they thought the were better than everyone else. very sad. going on and on and on about christmas and all their plans while all the the patients listened, worried about how they were going to have any kind of christmas after having to pay for the hospital bills. they had told my husband he couldn't eat or drink after midnight because he would be having tests done in the morning at 9 am. 9 am came and 9 am went, 11:30 am rolled around and enter his nurse with his medications-which he had his own medications with him but she said even though he had his own prescribed medications with him that he had to take the same ones she had-doctor's orders(aka so we can charge you for that too). he questioned the nurse giving him the medications with soda telling her he was told to stay npo for the testing. i could tell by the answer and the facial expression she gave him she knew all along he wasn't having any testing. in walks the doctor telling my husband that he recommends the testing that was already planned but he would now need him to stay yet another day. my husband had been up half the night and was very uncomfortable with the negative environment and had already more than once that morning voiced his want to go home. the doctor left and said he would give him 20 min or so to think about doing the testing and saying another night-unless he already knew what he wanted to do. my husband told him he wanted to go home and do the testing another day. doctor walked out and the ignoring game began again. i went to the nurses station because my husband was getting upset about being ignored. i told them he needs someone to come take out his iv so he can go home. i returned to the room t to be with him and the conversations about the patient in room such and such began-with ugliness. in walks his nurse and this big headed male nurse practitioner named jordan. the two of them back and forth were at first using scare tactics to try and make him stay. when my husband had enough of the back and forth of them not listening jordan got very ugly at him and said the doctor said he wasn't discharging him until he did the tests that were recommended. i put my hand up and told him we got all that he had to say and don't need anymore and that he didn't even know the whole story so maybe he should go get his story straight before coming in attacking my husband. he wants to leave. it was like a hostage situation. so it's not recommended testing, it's a demand. then they were going back and forth saying if he decides to leave and not do the recommended testing that our insurance company won't cover any of the hospital visit. when i challenged what they were saying jordan was suddenly changing the story saying that he doesn't know if they will cover any of it or not-that he is not the insurance company. duh! so they then told him the only way he could leave was by signing an ama(against medical advice) form that they will not discharge him. needless to say, my husband signed himself out and had his testing another day. and yes, everything was covered by the insurance. and jordan even submitted a claim for $105 discharge service!"
4,3851,4.0,0.463,"doctor, care, medical, year, appointment, procedure, work, health, treatment, week","i requested restrictions on the uses and disclosures of my personal and medical records:  ""all of my personal and medical records.  all people and companies except myself, son and daughter.  i will never seek treatment at any ascension facility again.""  having rational communications is virtually impossible with ascensions' employees.

ascension denied my request to restrict use of my protected health information (phi) ""in order to provide our patients the best care possible"" ... allow your providers to securely search your healthcare records"" ... ""to guide your care"" ...  ""have access to all of your healthcare information"" ... ""clearer picture of your overall health"" ... ""better to provide you care"" ... ""treatment of you"" ... ""if we restrict your medical records"".  

if i am never going to have ascension provide treatment again, why did ascension justify denying my requested restriction based on providing my care?  maybe they assumed i have no control over who provides my care.  i have numerous non-ascension in-network doctors and my primary-care doctor has no control over where i go.

i appealed ascensions' denial stating, "" it is obvious your rejection was based on your absolutely false assumption that i will ever have any relationship with any ascension provider under any circumstance.  no ascension provider will ever have any need to access my five visits.  if any non-ascension provider needs to access my seton medical records, i will provide them.  i have all 425 pages."" 

guess what?  ascension denied my appeal.  ascension denied my original request for restricting use and disclosure of my phi so ascension could provide better care for me, even though i also stated i would never go to an ascension provider again.  in denying my appeal, ascension never once mentioned the argument they used in denying my original request.  instead, they threw out an argument that has absolutely nothing to do with my original request or my appeal ... an issue i never mentioned.  ascension stated, ""due to state and federal record retention laws and other legal considerations, ascension is mandated to maintain medical records.  therefore, we are unable to restrict your medical records ...""  ascension either does not know the difference between maintaining and accessing or it is playing games.  i have 3 books in my desk that i have never opened and never will because the subjects are irrelevant to my life ... analogous to maintaining, but not accessing my phi.  why does ascension not understand?  since i will never be treated by ascension again, why does it need to access my phi?  maybe ascension just cannot find its butt, even if it uses both hands."
5,7733,5.0,0.4665,"patient, people, walk, talk, rude, place, horrible, hear, leave, person","stay away from this hospital. they are not enforcing cdc guidelines and allow people to work there who refuse to even wear a mask during a global pandemic! this is fatally dangerous behavior, and they have completely unacceptable sanitation practices. the attached photo shows the two people who screamed in my face without masks who are standing in the only patient entrance/exit this morning after screaming at me from 18 inches away without masks and repeatedly refusing to back away.

i was told where to pick up my husband after his procedure since i couldn't come in (bc of the pandemic) and was told they're be out in 5 minutes. i was in the patient pick up area and the valet came over and told me to leave. i said i was waiting on my husband who had just been under full anesthesia and i was told to wait here. the armed officer came over and lied and said my husband was in another building. i said, no he's here and i am picking him up. she kept yelling without a mask on about how i needed to leave the pick up area. i again stated i'm picking up my husband from his procedure. i had only been there 1-2 minutes at this point.

the two people in the photo came up to my car  telling me to roll down the window. they removed their masks (and kept telling me to take off my mask) and screamed in my face to leave. i was waiting where the nurse told me to so she could bring out my husband from his procedure. they repeatedly refused to back away at all or put on masks, so i rolled up my window.  the valet started yelling obscenities loudly at me because i rolled up my window when they repeatedly refused to back away or put on a mask. i moved my car twice to places he was pointing at but they kept screaming anyway. the last time he screamed obscenities at me because he wanted me to move another foot. i don't know why they wanted me, the only person there picking up a patient, to leave.

my husband came out with the nurse. the valet and armed officer found it necessary to start yelling at my husband (who just came out of anesthesia) as the nurses were giving me discharge paperwork. i have never been at a medical facility where people are allowed to freely project their germs during a pandemic or scream obscenities at people trying to pick up patients...until today. 

truly disgusting behavior in normal times, and absolutely abhorrent lack of care during this time."
6,7156,6.0,0.2654,"hospital, bad, place, work, give, treat, people, experience, star, wife",i grew up in san leandro the majority of my life and never ever in my life ever been to a hospital i as bad as san leandro hospital this hospital by far has the top worst ratings i've ever seen they don't care about their people they don't care about anybody but themselves they don't even care about themselves. this hospital needs to be shut down. i hope kaiser does that for them. i won't go into detail but just know i've had many life experiences where i had to rush to the hospital and only because san leandro hospital was the closest at time is the reason why i went there. now i would never even put anyone's not even a stranger life in their hands. they see you as a suspect before they seen you as a patient. i advise anyone never to go there. that place has no use but to take your money.
7,5127,7.0,0.3795,"staff, surgery, good, care, great, nice, clean, professional, friendly, food","this is the 2nd time we have had to come here and both times have encountered great people. staff that are courteous and polite. these people are so nice, friendly and always at the ready to answer a question and meet a need. the doctors are experienced & knowledgeable with great bedside manners. the office is clean through and through. the pre surgery prep area is also very clean and detailed. it is so efficiently run, impressive. 
the waiting area is great, they even make fresh pots of coffee all day, along with a tea kettle running for tea drinkers. there is a cafeteria and also a subway café inside the hospital that are not bad.
there is a free parking lot across the street and they also offer valet parking. 
if needed, hope not, but if, this place will be great."
8,8698,8.0,0.5332,"call, pay, insurance, bill, receive, visit, month, send, service, charge","buyers beware! this hospital is known for unethical billing practices. you will be charged for services far higher than market average. 

we recently had an ultrasound completed on my pregnant wife at an outpatient doctor's office located near saint mary's hospital.  we received a bill from the doctor's office for the services.  we then received a second bill from st. mary's hospital charging us again for an ultrasound.  why would we receive a hospital bill when we were never in the hospital, we were in a doctors office? this bill was for over $5000 and was billed as if my wife was in the hospital as a patient. we went to an outpatient office. we have been to other physicians in this same building (which is not the hospital) and were never charged as if we were using inpatient services. after further research i found that this is over ten times the cost of this service looking at national and local averages.  we also were not admitted in saint mary's hospital.  

after calling to review these charges with bon secours customer service they informed us that we would have to take this issue up with the billing department of the doctor's office.  once we spoke with the doctor's office they said that it was a bill from saint mary's hospital and would have to be handled by them.  after calling bon secours back, they gave me the name of a contact that all billing complaints go through.  they refused to give me her email or phone number.  they said all issues must be through hand written letters.  we contacted her stating our issues and after some time received a letter back.  the contact only offered services which are openly provided through customer service (pay balance right now 15% discount or set up monthly payment plan).  wrote contact back trying to get explanation of charges and cited local health care cost averages for ultrasounds.  stated that these charges were billed unethically (as if we were admitted in the hospital) and that costs of services were not within market value and were not discussed with us ahead of time.  we waited a couple months and heard nothing back.  we called their customer service and they told us our letter was received and under review.  we waited a couple more months and a collection notice came in the mail from bon secours.  we called their customer service back and let them know about this issue and that it had been under review.  they stated the bill was unpaid and therefore sent to collections.  we were never able to speak with anyone with autonomy, were billed extremely unethically and nobody from their organization would directly communicate with us about their bill.  my wife and i have high credit scores and always pay our bills in accordance with our responsibilities.  this company refused to openly communicate with us or explain their absurd billing practices.  buyers beware!!! there are many other companies providing the same services in our area with far better customer service and for far cheaper."
9,831,9.0,0.4206,"doctor, pain, give, back, home, medication, med, symptom, send, put","i hate leaving negative reviews but if you have an ocular emergency do not go here. 

caveat: perhaps they are great with other trauma injuries and acute infections. ‍... i just wouldn't see them for eye injuries.

i was on business travel in the d.c. area when i started suffering from acute eye pain during a meeting after getting something caught in my eye. since i was on travel i didn't know where to go. my eye doctor was back in san diego where i live. i tried flushing my eye out but they pain persisted. i feared that i had a cornea abrasion (my grandmother had a cornea abrasion one time and my symptoms were very similar) *** a cornea abrasion is a cut on your eyeball*** cornea abrasions are incredibly irritating and painful. after several hours of my pain worsening i finally went to this er. by the time i arrived my left eye was incredibly swollen and very painful. i was seen by a pa who did the best they could but they lacked  the tooling and knowledge of a specialist and therefore failed to provide me any real help or relief. if this place does have an on call ophthalmologist they were never summoned. i was in absolute disbelief that they didn't have an ophthalmologist see me??? i was given zero numbing drops. i had to pry my swollen angry eye open with my fingers so they could put dye in and look around my eye. eventually i was diagnosed with a cornea abrasion and told to go home and see an ophthalmologist... i changed my flights and flew back early so i could see my ophthalmologist the next day. he was able to work me in as soon as i arrived home. he provided me with numbing drops pain relief so i could finally get some much needed rest and actually start healing. 

one positive: at check in there was a (what i assume was a nurse) named jasmine. she had a wonderful bedside manner and she was very concerned with helping her patients feel comfortable."
