,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
2216,M8m7xcwGHueY86bA0GVhJQ,3AzWH1t3CuNnbcX9odVW2A,3,urgent care wait is always very short staff are super helpful nice and friendly here got me an xray fast after hours once,Odie O.,2019-12-15,https://www.yelp.com/biz/kaiser-permanente-harbor-macarthur-medical-offices-santa-ana?adjust_creative=upenn&hrid=3AzWH1t3CuNnbcX9odVW2A&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Kaiser Permanente Harbor-MacArthur Medical Offices,False,153,2.5,2020-06-23T17:54:16,17148306500.0,http://kaiserpermanente.org,https://www.yelp.com/biz/kaiser-permanente-harbor-macarthur-medical-offices-santa-ana?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,3401 S Harbor Blvd,Santa Ana,CA,US,92704.0,33.701156908511,-117.91821831757,Medical Centers,Hospitals,,,,
2218,M8m7xcwGHueY86bA0GVhJQ,_DkpqVS3snFwrjNBEfB56g,1,"waiting for urgent care suck!
i understand the waiting but not when other that come after get call-in first!",Tiffany N.,2020-03-08,https://www.yelp.com/biz/kaiser-permanente-harbor-macarthur-medical-offices-santa-ana?adjust_creative=upenn&hrid=_DkpqVS3snFwrjNBEfB56g&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Kaiser Permanente Harbor-MacArthur Medical Offices,False,153,2.5,2020-06-23T17:54:16,17148306500.0,http://kaiserpermanente.org,https://www.yelp.com/biz/kaiser-permanente-harbor-macarthur-medical-offices-santa-ana?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,3401 S Harbor Blvd,Santa Ana,CA,US,92704.0,33.701156908511,-117.91821831757,Medical Centers,Hospitals,,,,
2219,M8m7xcwGHueY86bA0GVhJQ,Gv2akyonkBsVKABXwot9YQ,1,this place it's horrible i arrived at 3:00 they said waiting time 1:00 hour by 5:30they had not call me i asked why they said it will one hour or more not sure when that was the answer of the nurse. i when to complain at the reception she did not care about my problem. i'm paying $420 at month to have this ripe of treatment,Emma T.,2020-02-08,https://www.yelp.com/biz/kaiser-permanente-harbor-macarthur-medical-offices-santa-ana?adjust_creative=upenn&hrid=Gv2akyonkBsVKABXwot9YQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Kaiser Permanente Harbor-MacArthur Medical Offices,False,153,2.5,2020-06-23T17:54:16,17148306500.0,http://kaiserpermanente.org,https://www.yelp.com/biz/kaiser-permanente-harbor-macarthur-medical-offices-santa-ana?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,3401 S Harbor Blvd,Santa Ana,CA,US,92704.0,33.701156908511,-117.91821831757,Medical Centers,Hospitals,,,,
6387,_kfFCfql_qAoXxlYeBN32Q,an1s0rpYzNvDEXyZXP8Qsg,1,"i just moved to the area and have a new physician.  i saw him yesterday after having passed out in a store and getting an ambulance to st margaret's er. i was there 7 hours. they took an ekg and gave me one bag of fluids.  doc was shocked that they did not take at least a ct scan since i am post-stroke and this was my 3rd episode of syncope.  doc said avoid them if possible, but ok for imaging. he said he would never admit me there for anything overnight, especially surgery.",Shirley M.,2019-12-05,https://www.yelp.com/biz/franciscan-health-hammond-hammond?adjust_creative=upenn&hrid=an1s0rpYzNvDEXyZXP8Qsg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Franciscan Health - Hammond,False,10,2.0,2020-06-27T02:35:29,12199322300.0,https://www.franciscanhealth.org,https://www.yelp.com/biz/franciscan-health-hammond-hammond?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,5454 S Hohman Ave,Hammond,IN,US,46320.0,,,Hospitals,,,,,
6390,_kfFCfql_qAoXxlYeBN32Q,K25JvhikSR_aNv9Wn0N6UA,1,"i was sent to the emergency room by my doctor. i had a very bad migraine and a blood pressure of 190/120. doc was concerned about a possible stroke and wanted my blood pressure to be brought down. i arrived at the emergency room at 1:30 pm. they immediately took my blood pressure which was 190/124. they immediately gave me an ekg, urine test, head ct scan and blood test. at 2:15, they then sent me back to the emergency room waiting area where i remained until 8 pm when i gave up and went to a real hospital. if i wanted to wait for freaking hours to see if i would have a stroke i would've done that at home in comfort where there's food. i was given no medication to bring the pressure down i was just told ""we're busy, the wait is longer than usual."" yeah, i believe the long wait is usual and so is their incompetence. if you are not good at the abcs of heathcare then you shouldn't be in operation. thank god for the university of chicago, a real hospital. fransiscan health hospital is a piece of shit.",Salina B.,2020-02-04,https://www.yelp.com/biz/franciscan-health-hammond-hammond?adjust_creative=upenn&hrid=K25JvhikSR_aNv9Wn0N6UA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Franciscan Health - Hammond,False,10,2.0,2020-06-27T02:35:29,12199322300.0,https://www.franciscanhealth.org,https://www.yelp.com/biz/franciscan-health-hammond-hammond?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,5454 S Hohman Ave,Hammond,IN,US,46320.0,,,Hospitals,,,,,
8587,D3MN24Ps5oI8wL8uM8AeaA,KX87JqCq_TD43DvBzX-wCA,1,"someone close to my heart was admitted here into the psychiatric ward. however, i would not recommend that your loved one ends up here. it is extremely hard to contact the patient as you are told incorrect phone hours and are given the run around. if you are lucky enough to reach them, they can't identify the patient you are looking for. in my opinion, that is horrible being that it is a ward and the nurses should be aware of who is on their unit. after repeating the patients name several times, the man who answered the phone, hung up on me. i kept calling, but did not have any success. this man kept hanging up on me. i was extremely frustrated with how i was being treated so i put in a call to the nurses station. a nurse picked up and was able to identify who my loved one was, but told me ""____ is sleeping"". this seems to be their go-to when they don't feel like getting the patient. 
secondly, according to the patient, the nurses assumed he left the building and ""couldn't"" find him, however he was in his bed the whole time. this seems extremely unprofessional to me. also, apparently the food is not great. this person described this facility as jail, granted it's not supposed to be an all-inclusive resort, but they should have their ish together. 

overall, our family is not impressed with this facility and would not recommend it to anyone!",Julia A.,2020-02-29,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&hrid=KX87JqCq_TD43DvBzX-wCA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Summit Oaks Hospital,False,28,2.0,2020-03-16T13:39:59,19085227000.0,http://www.summitoakshospital.com/,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,19 Prospect St,Summit,NJ,US,7901.0,,,Hospitals,,,,,
8588,D3MN24Ps5oI8wL8uM8AeaA,0CUakbjKXJVxWKvc_TEErw,1,"felt like a sheep when i was here as a minor. you get zero one on one counseling. a lot of the support groups, other then like arts n crafts, were you just sitting there having to watch a movie abt mental health. i feel like thats lazy of the staff. many kids that go there might have adhd and other problems effecting their learning and if youre making them watch old mental health movies created before the 90s,, do you really think youre making them care? staff also picked favorites of the minors. its also unsanitary but i wont get into that",Breanna H.,2019-12-17,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&hrid=0CUakbjKXJVxWKvc_TEErw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Summit Oaks Hospital,False,28,2.0,2020-03-16T13:39:59,19085227000.0,http://www.summitoakshospital.com/,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,19 Prospect St,Summit,NJ,US,7901.0,,,Hospitals,,,,,
8594,D3MN24Ps5oI8wL8uM8AeaA,P9aHgJ7qx66-6jyzfvki8g,5,"i was at summit oaks on christmas eve morning. after reading these reviews i was extremely discouraged, but i was also desperate for immediate help with my 13 year old son. i decided to go there in person instead of letting these really bad reviews guide me. i wanted to see for myself what it was like. the location is very nice. every staff member was courteous, empathetic, supportive and professional. there are inspirational letters posted in the waiting area along with coffee and tea. we got a five hour evaluation and excellent direction on what to do immediately to help with my son's behavioral issues. he did not get admitted, but if they had admitted him i would not have been worried. i believe he would have been in good hands. we also were given free lunch and the food was fine. fresh turkey sandwich, graham crackers, an orange and an apple juice. if you are considering going here and you are local, i recommend you go talk to them. i am glad i did.",Tara B.,2019-12-26,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&hrid=P9aHgJ7qx66-6jyzfvki8g&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Summit Oaks Hospital,False,28,2.0,2020-03-16T13:39:59,19085227000.0,http://www.summitoakshospital.com/,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,19 Prospect St,Summit,NJ,US,7901.0,,,Hospitals,,,,,
10049,tWh8jnnIyR5Xxsab81QCzQ,gENtsLOrh_2j2DkpVWXqxA,5,"my grandson has not been feeling well for the past few days. we had brought him to the er late at night and was checked in quickly. the hospital was very clean. the staff was kind when checking in. he was then taken in to do his vitals shortly after and then to his room to wait to see the doctor on duty. we were then greeted by dr. richard tan who had listened to our concerns and went straight into running tests on him. dr. tan's assist, sgt calderon was very kind and very helpful while we were waiting for the tests to be complete and to wait for the results. dr. tan was very thorough in assisting my grandson. he had even stayed in contact with the pediatrician on call as well which had made us feel better with some of our concerns. once all of the concerns were met, dr. tan had informed us that my grandson's medicine would be available in the pharmacy at 1:20 a.m. when we had completed our visit. we were pleasantly surprised and happy that we were able to obtain his medication right away so that we could give it to him. overall, oir visit to this hospital was awesome! mahalo to everyone who assisted us with our visit.",Danielle C.,2020-03-06,https://www.yelp.com/biz/langley-afb-hospital-hampton?adjust_creative=upenn&hrid=gENtsLOrh_2j2DkpVWXqxA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Langley AFB Hospital,False,13,2.5,2020-03-06T14:34:19,17577646801.0,,https://www.yelp.com/biz/langley-afb-hospital-hampton?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,77 Nealy Ave,Hampton,VA,US,23665.0,,,Hospitals,,,,,
10050,tWh8jnnIyR5Xxsab81QCzQ,iDrHa0ePsMIJ7quHJ0qEUA,1,"is this place even open?  no one answers the phone, fax number doesn't work.  left on hold by an answering machine for 20 minutes then hung up on. no answer, time after time.  if this is government healthcare we should all be terrified.  i was trying to forward medical records for one of their patients from another hospital. shocking disregard for patient care.",Ann B.,2020-01-02,https://www.yelp.com/biz/langley-afb-hospital-hampton?adjust_creative=upenn&hrid=iDrHa0ePsMIJ7quHJ0qEUA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Langley AFB Hospital,False,13,2.5,2020-03-06T14:34:19,17577646801.0,,https://www.yelp.com/biz/langley-afb-hospital-hampton?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,77 Nealy Ave,Hampton,VA,US,23665.0,,,Hospitals,,,,,
