,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,693,0.0,0.1551,"hospital, care, family, mom, bad, life, mother, treat, admit, year","came here 06/16/2020 at 22:10 
physician: lin, john
i felt disrespected and felt like he is against the lgbtq. i went in because my knee was hurting. lin john said my name i said yes. he ask me are you a transgender. i told him no like wtf does that has to do with my visit. he said oh because of your short hair. i said okay it was already awkward and felt weird. than he ask me few questions about myself. one of the questions he ask me was ""are you a virgen"" i told him yes. he said something and he said probably that's why your knee hurts. who the fuck says dumb shit like if being a virgen has nothing to do with my knee. in my visit the nurses were just talking shit about each patience that we're coming in. one of the nurses fucked up and let a guy who has covid come in to the area where they are not allowed. they have an area for people who has covid or the symptoms. they didn't even bother disinfecting the chair he sat on."
1,727,1.0,0.1965,"call, insurance, pay, bill, send, receive, month, service, appointment, charge","i have been debating if i should go see my doctor lately because i figured they are all busy with the covid and all.  i finally got the nerve and spoke to my doctor who told me i need to get blood drawn as my condition was serious.  9am i go to the peterson park office for blood draw and greeted sandy.  i told her i was in for a blood draw.  she got up looked around and became very upset stating she has no orders for me.  i waited as she looked around the office and could hear her going on complaining that people come in without orders and why does she not know about this and how she should just have me leave and come back with orders!  i and everyone in the waiting room could hear her rantings.  i felt like a total idiot.  her ranting went on and on until she comes back to the window and said i should come back with orders after 10 am because that is when they do lab work anyway!  i was about to leave when another patient in the waiting room asked what her problem is, and advised i call the doctor to call in what labs i need done.  i decided i was already there and called the doc.  he asked me to stay and he would call the office with lab work again.  finally, a nurse called me in and drew my blood.  as i left i said bye but sandy was not having it, she didn't even acknowledge me.  i seriously question if i would want to put up with that bad attitude ever again and will ask that i schedule my visits on her off days!"
2,35,2.0,0.2198,"pain, give, nurse, put, back, home, med, leave, start, night","where to start. this hospital is filthy dirty. they keep the medicines for all patients in the room with the patients in a cabinet that has a lock with a note saying by law it must be locked and they cover the lock with a towel so it won't lock so they don't have to use a key. in addition all the meds are mixed up and not kept separate per each patient and they keep digging trying to figure out what belongs to what patient. the other night they could not find my mother's insulin and after 2 hours had still not found and and she did not get her insulin.  in addition protocol is that insulin should be kept refrigerated and at this hospital it is not. today they had the wrong patients medicine on my mothers iv pole and had it administered and going in her veins. thank god it was the same medication she was on as they could of killed her but it had another patients name on it. my mother has mersa and the nurses and doctors are not wearing gowns, masks and/or gloves. the hospital she came from nobody could enter her room with out putting on a gown and glove and taking them off before you left.  now 2 days ago she was just diagnosed with cre and still nurses and doctors still  have no gowns, gloves or masks on and she is still in a room with other patients and not isolated. they are passing germs from patient to patient.  this place is a shit show. i want my mother out of this place now and moved to another hospital!!!"
3,843,3.0,0.1768,"patient, nurse, people, call, rude, talk, treat, wife, person, hear","i came into the emergency room today with my significant other and left with a bitter feeling of distastefulness recounting the interaction we had with the staff greeting you as you walked in. 
given the current circumstances, i understand the seriousness and risk involved with visiting the emergency room. it was not a decision that was made light-heartedly. 
as we walked in we were asked what our reason for being there and as we told them they sent us to the registration window. my partner was asked to step aside. as i a stood at the registration window, they continued to ask him general screening questions. ""do you have a cough? a fever?"" it was evident that we were not there for covid-19 related illnesses, as we had previously told them upon entering the facility. as this was made clear they proceeded to ask, ""are you a doctor?"" no. ""are you a nurse?"" no. ""then why are you here? don't you know this area is high-risk?"" these rhetorical questions were asked to make a mockery of my partner. i have never felt so disrespected and belittled by hospital staff or employees ever. it caught me off guard and made me upset. this is not the way you greet people, especially to those who are simply seeking your help."
4,836,4.0,0.1756,"nurse, make, feel, experience, time, baby, child, son, daughter, stay","had to stay a couple of days for a non-covid emergency earlier this month - but just wanted to say every employee i ran into (nurse,doctor,transport,specialist,security etc) was professional and caring. they do pay attention to detail and you can see they want to make you well and they'll do whatever it takes. the medical staff coordinate a plan and they are great - even when in extreme discomfort and pain, you feel in good hands. i feel 100x better now and they did provide some great advice to get over my ailment. great to see that they're still providing great care during these hard times."
5,926,5.0,0.1896,"place, day, work, people, time, bad, give, make, thing, food","my primary care instructed me to go to the er for the covid-19 (coronavirus) test. 

at northridge hospital (er department) i asked for the test because i've been sick for the past 5 days and my doctor asked me to do so. i didn't travel the past 14 days, i don't know anyone who is / are positive (but i told them i have friends who just came back from oversees). i have the symptoms (cough, runny nose, chest pain / hard to breath, diarrhea, and other things). walking from the parking lot to the er entrance was like running a marathon! i was having trouble talking to the staff at the door because i had difficulty breathing and talking the same time. because i didn't travel, none of the friends are/ were positive, and my fever didn't reach over 104 degrees, they denied the test. instead they offered me the flu test (-_-"")

the us should learn from singapore, taiwan, or even china. they focus on the health of the citizens. doesn't matter if you have traveled or know somebody who is positive. they will test you no matter what. making sure  each person doesn't carry the virus because the symptoms can be asymptomatic.

i'm home. staying home for another 9 days without knowing anything. i don't know if staying at home for 2 weeks would be enough if they won't do the testing to verify. i don't know if i should let the people that i met / interacted the past few days since i don't know even know. i called my primary doctor and told her that er denied the test.

megan m.  & julie r. of dignity health - northridge hospital medical center -- please don't bother to reply to this review with your general comments about having high quality care and good customer service are your priority and telling me to feel free to speak with your quality department."
6,214,6.0,0.2025,"doctor, test, day, time, home, discharge, back, explain, result, week","the hospital is good and so are the doctors and nurses. but today i came to er and they had a head male nurse who was so rude to not only me, but the other nurses. he told the nurse i was not that sick and have this all the time. made be feel like he thought i was faking it. he is arrogant and cocky. one nurse asked for help and refused to help her out. 
he kept going in about how covid 19 was bs and he is not going to wear a mask. i mean come one. real or not, be considerate to others. 
another male nurse came to talk to him and he would not let him talk, so the guy just walked away. 
 very very unprofessional of the lead nurse. 
visit was 6/8/20 time 2pm"
7,0,7.0,0.2451,"room, wait, hour, emergency, minute, check, back, time, sit, leave","if i could give this place zero stars i would. the first time i went was when i broke my ankle. made us wait over four hours just to get an x-ray and we had to share a room with another patient. the next time was even worse. my girlfriend came in with abdominal pains and they made us wait three hours just to see a doctor. the doctor than told her she needed an ultrasound, which we waited two hours for and than another two for the results. after that they made her get a cat scan, which took up another two hours to get and another two for the results. than after all this doctor mchue came in for no more than thirty seconds to tell her nothing was wrong. they definitely just added procedures in order to rack up her hospital bill bordering on malpractice considering how much radiation a cat scan gives. after all this we had to wait another hour just so a nurse could come in for five seconds to take out her iv. when i went to complain to dr mchue, and told him we'd been at the hospital for almost 12 hours and we just need the iv to be taken out so we could go home, he rudely told me ""people are dying."" i understand that it's an emergency room but there were atleast ten people talking or sitting at their computers, one of which is capable of removing an iv, or dr mchue should've just done it himself when he came to see us. his attitude was not one any dr should have and it was clear he got stuck with the graveyard shift and was not happy about it. terrible terrible doctor. don't go unless you're literally dying because they will not help you. go to a different hospital if you can and definitely hope to god you don't get dr mchue, because i've never encountered a more rude or dismissive dr in my life. fuck this p"
8,4,8.0,0.1893,"staff, care, good, surgery, great, experience, professional, team, nice, friendly","update: still visiting as part of my ministry. with all the worries of flu and coronavirus, they still have empty hand sanitizing stations, dirty bathrooms, and no soap in some dispensers. really? this is sad. when do they plan on correcting this? this is my third update in only a couple of years, and still, they have not fixed the problem. please be aware of this. your health could be at risk! too no avail, i mentioned to staff before. is it apathy, laziness, or lack of concern? sad!"
9,750,9.0,0.2643,"patient, medical, facility, treatment, care, state, request, provide, health, refuse","on friday, 4/17/2020, my grandma was taken to your medical facility, garfield medical center at around 4:00 pm. my grandma whom has tested positive for covid-19 began presenting worsening symptoms and due to her advanced age, we decided it would be best to take her to the hospital. we chose your facility because of your good reputation, nonetheless, we feel we were let down on this said day. my sister took our grandma in her car, taking a high risk of getting infected herself, for i could not transport her myself because i am also positive for covid-19 as well. we truly believe (my sister, my grandma, my mother, and i) that my grandma was de-serviced on this day. i understand the unique and precarious circumstances we are under does not allow for things to be normal, nonetheless, this does not mean for my grandma to sit in a car for two (2) hours, basically, unattended as my sister has no medical back-ground. the only thing that was done for my grandma was; insurance information, temperature, and basic vitals were taken on her upon arrival while in the car. as a matter of fact, my grandma never left the car for two hours, while waiting in the er parking lot under the assigned area. my sister kept on asking, politely, how much longer before grandma would be taken in, and she was given the runaround a few times. the staff did not take action to take my grandma in, until my sister finally lost some of her patience and composure, and raised her voice to let staff know she was leaving and she was taking grandma elsewhere. it was not until this moment that the staff finally came with a wheelchair and tried to do something trying to justify their delay. my sister stated to them that why did she have to raise her voice to get things done, that was not right, what if she had not raised her voice, how long would she have waited? that is a question my sister was not willing to gamble on with grandma. 
basically, nothing was done for my grandma, and yet, insurance information was taken which leads me to believe we will get billed for having had my grandma sit in her car outside the er for two hours. is this justifiable? consider the fact that none of us are currently working, therefore, income is a very serious issue. what will we get billed for, let me see, for nothing? how will you justify billing us for having had grandma, whom was identified as a senior citizen and positive for covid-19, to just sit in the car, hungry, and with uncertainty? my sister rushed my grandmother to alhambra hospital medical center and they quickly received her and attended to her care."
