,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
16748,s5xa2ZdJxNypLCnF3SloIA,F2sCMnDCvLQBDkZmXpqdpA,1,"i saw dr ellis at hss for foot pain and he ordered several imaging studies for my foot. after i got the tests, i called the office and asked dr ellis to call me with the results. i told the office i was still in extreme pain and would like a call from the doctor. they told me that he would not call me and would only give me the test results by a telemedicine visit two weeks later. as a surgeon myself, i was surprised that a doctor that orders a test does not have the courtesy and compassion to call with results and a plan of action. if this is how he runs his office i can't imagine letting him operate on me. what if i had a problem? his office said he is ""very busy"" and does not have time to call patients back. wow, i am also a busy surgeon but always call my patients back even on busy days, that is just good medicine. shame on you dr. ellis.",Jessica L.,2020-06-25,https://www.yelp.com/biz/hospital-for-special-surgery-new-york-5?adjust_creative=upenn&hrid=F2sCMnDCvLQBDkZmXpqdpA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Hospital For Special Surgery,False,191,3.5,2020-06-25T11:26:01,12126061000.0,http://www.hss.edu,https://www.yelp.com/biz/hospital-for-special-surgery-new-york-5?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,535 E 70th St,New York,NY,US,10021.0,40.764960063439005,-73.9526625094,Orthopedists,Medical Centers,Rheumatologists,,,
18439,UtWngqS-WloIY_A53W5K-Q,VLS5GqTvQrHk6j4hQL2IeA,1,"i'm very disappointed with the er medical staff at mercy gilbert. i've heard all great things about them. however when i was checked in at this hospital on tuesday, march 24, i had a completely different experience. 

it all started when i was told by the covid 19 hotline, that i could go to the banner urgent care on higley, to get tested. i waited a good hour before getting called back. (no it wasn't busy) appointment was @ 11:30, i checkin 11:15, called by 12:16pm. once i entered the back room, my legs gave out on me and i ended up collapsing. the nurse helped me to the room and onto the bed. at this point my fever was 102.6 and my body started to have convulsions. the banner urgent care called 911 and i was sent to this hospital. i wasn't tested  for covid 19 with banner urgent care.

i was asked a list of questions by the emt about where i work and have i traveled lately. told them i was a flight attendant based in jfk/nyc. also told them i started experiencing symptoms on monday night march 23. during this time my body was in so much pain and i had this excruciating headache unlike nothing i felt before in my life. 

we quickly arrived (which felt like forever) and i was taken to a room where i was met by er dr. kent first,  then by nurse rene a little later. and i was asked again the same list of questions from each. i just wanted to pop my head off from body at this point because the pain was so unbearable. 

here is where everything went downhill. 
dr.kent said she was going to run a flu and strep test on me. i asked her what will happen when they came back negative. (which i knew were both negative because i have had the flu and strep before and my body has never reacted like this, plus i got the flu shot back in october 2019).

dr. kent became very short with me and slightly raised her voice and seemed very irritated because i wanted to know about getting tested for covid 19 (which the next day my doctor now tested me and i was indeed positive). she was so concerned about state regulations and not admitting me to the hospital, that she sent me home with antibiotics after my xrays showed i had  community-acquired pneumonia and i was told i could return back to work after 3 days if symptoms improved. and when she told me about the pneumonia, dr. kent stood by the curtain and quickly walked away. really?!? 

so i knew something was off with my body and this was not normal, i don't have any underlying health issues. never in my 10 years of flying as a flight attendant have i had pneumonia. i'm in my early 30s and pretty healthy. i went to my doctor now and nurse john shipp was the only one who believed me enough to test me on wednesday, march 25, and by friday (yes two days later) i had a video chat with my doctor now and was positive for covid 19. later on that day i ended up collapsing yet once again experiencing hypoxia (lack of oxygen to the brain) and was admitted to banner baywood hospital. where i spent the next 6 days on antibiotics, blood thinners, and malaria medication hydroxychloroquine. 
if it wasn't for me taking the initiative to find help, i more than likely wouldn't be here today and my child would be motherless.",Shawntele R.,2020-04-09,https://www.yelp.com/biz/mercy-gilbert-medical-center-gilbert?adjust_creative=upenn&hrid=VLS5GqTvQrHk6j4hQL2IeA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Mercy Gilbert Medical Center,False,216,3.0,2020-06-16T20:28:07,14807288000.0,https://www.dignityhealth.org,https://www.yelp.com/biz/mercy-gilbert-medical-center-gilbert?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,3555 S Val Vista Dr,Gilbert,AZ,US,85297.0,,,Hospitals,,,,,
26812,YFp2UZnWwD_CJAhqLiwgVA,EQHeRk7j1NqqP0eeKq-VtQ,1,"my grandfather had terminal lung and brain cancer and was transferred to calvary on may 20th from new york presbyterian hospital. my family and i were sold a beautiful story of how everything would be including being able to have virtual visits and an open line of communication. we were also told once my grandfather was in critical status or imminently dying  my mother would get a call to go see him. none of the above happened, it was all the opposite. communication was horrible, staff does not care about the patients nor do they have any compassion for the family. my grandfather was moved three times from floors, during one of my calls i noticed there was something strange with the way my grandpa looked. i asked what medication was being administered and discovered he was being given haldol. this was without our authorization or consent so i asked to speak to the doctor. when i asked dr. devmani the reason  she couldn't give me a straight answer. i told her that moving forward no one should administer any medication without our knowledge and consent. after i raised that concern amongst others i noticed we were being treated even worst. almost felt like they were retaliating. yesterday at 12:18pm i called to ask how my grandfather was doing and demanded a virtual visit. i saw him in really bad shape so i begged for an exception so that my mother could go see him and i was told no. at 9:15pm yesterday we got a call that my grandfather ""expired"" . this totally broke my heart. calvary has no compassion for family members or for the patients and they do retaliate if you raise any concerns.  if you really care for your family member do not place them here. rip grandpa, i'm so sorry you had to spend your last days surrounded by people who truly don't care. they wouldn't even allow my mother to go see his dead body and they also refused to send us pictures. the staff at calvary has no regard for human life.",Laymi T.,2020-06-09,https://www.yelp.com/biz/calvary-hospital-bronx?adjust_creative=upenn&hrid=EQHeRk7j1NqqP0eeKq-VtQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Calvary Hospital,False,39,3.0,2020-06-21T07:38:07,17185182000.0,http://www.calvaryhospital.org,https://www.yelp.com/biz/calvary-hospital-bronx?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1740 Eastchester Rd,Bronx,NY,US,10461.0,,,Hospitals,,,,,
29364,i8XNvS70Lk8h7OWn20F56g,6l4pUGY1MwGrDjeSxGJb4g,5,"my brother was rushed to the emergency due to a ruptured aneurysm. a first, the ambulance dropped him off at alvarado hospital and they  assessed my brothers condition. they learned he was loosing a lot of blood internally, and therefore, they requested to transfer him to scripps mercy, since they have one of the biggest blood banks in the county. my brother to this day is still confined at the same hospital and his first two weeks since he was transferred to scripps mercy at hillcrest has been a tough reide for him and our family. during my brother's hospitalization at this hospital (scripps mercy), we had experience very poor patient care from the day he was admitted. we can't get any information from sicu regarding hi condition. we have been passed around to different icu nurses rather than the designated nurse for my brother to obtain info on is condition, specifically how his surgery went. currently, my brother is still in the icu and the attending surgeon and doctors haven't had a chance to notify us, as a courtesy to us, to let us know any specifics regarding my brothers condition and how his surgery went. i've contacted the hospital and most of the nurses from sicu have been impolite, rude and most of all sarcastic. no family has to endure this type of treatment, especially during covid since not any family member is allowed to visit your family member that has been hospitalized regardless of what they're in for. i have to request for a zoom call so our worried mother could see her son at the hospital since we all are not allowed to see him due to covid. regardless of any policies any institutions have to adhere to, they have to talked about or find ways for us top see our love ones. you see this on tv every day where our love ones are left alone in their rooms in a state of loneliness. but on a different note, i'm also writting this review to recognize nicole s. and with the rest of the er team at alvarado hospital, as a caring rn, who contacted me, checking on my brother regarding his well being. we felt her sincerity and utmost patient care considering that my brother is no longer in their care. if given the choice, our family would have had a better patient care experience with alvarado hospital than scripps mercy. i also want to recognize cathy gomez , patient relations coordinator who had been very helpful to us and always willing to assist when needed. to the whole alvarado hospital team.... you guys rock!!! god bless you all and thank you very much for your 'beyond the call of duty' patient care. your employer should recognize your excellence!!!",Jact D.,2020-06-15,https://www.yelp.com/biz/alvarado-hospital-medical-center-san-diego-7?adjust_creative=upenn&hrid=6l4pUGY1MwGrDjeSxGJb4g&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Alvarado Hospital Medical Center,False,168,2.5,2020-06-21T06:37:22,16192873270.0,http://www.alvaradohospital.com,https://www.yelp.com/biz/alvarado-hospital-medical-center-san-diego-7?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,6655 Alvarado Rd,San Diego,CA,US,92120.0,,,Hospitals,,,,,
30277,_hmAkjAdwLMMoEYFV6xQmQ,h0G7UIAC33sf8PDubhMWzg,1,"never coming back here again!!!!! never!!!! 
went in with acute severe abdominal pain, unable to stomach anything at all. could it have been a heart attack because the pain radiated to neck, shoulders, and arms? after blood work up and a ct scan, their only findings were low potassium (3.0) and inflammation in the stomach. they administered a gi cocktail to try to numb the pain. it was not at all effective. they didn't seem to care my potassium was low. they didn't seem to care i was quite uncomfortable and in a lot of pain. they didn't seem to care i have been unable to keep anything down for the past couple days...day 3, and i'm still unable to eat or drink anything at all. they discharged me home at 2 am in continued severe pain. told to follow up with gi for an endoscopy. the severe pain continues today. and terrifying i don't know the cause of this pain, i can't stomach anything. i'm still heavily nauseated. will my potassium drop further? the er doctor spent a total of a few seconds with me only talking from the hallway. the doctors only questions (not pertaining to the reason why i visited) were ""do you have short of breath? do you have a cough? what hurts? okay, i'll order a cat scan."" he then left to never be seen again. he did not do any assessment or show he cared at all. i was just another body occupying space in his er and my presence irritated him. my daughter called and asked to speak to him, and was told he was in the room talking to me and he would call her back. well, she called me immediately after to try to catch him in my room so she can talk to him and i explained to her i haven't been seen yet. don't lie to patients family members when they call to get information. covid pandemic policies make it hard not to be with loved ones and these lies aré unnecessary!!! this was a waste of a visit!! i feel uncared for and i'm back to square one. nick, the nurse, told me to go home and take ibuprofen or tylenol. not good advice nick when i'm unable to stomach anything at all. ibuprofen should be taken with food. if i didn't know any better,  i would've taken ibuprofen and i'm sure created an ulcer and even more pain on top of what i have!!!! i will never visit this place again!!! i have many options, your facility will never be one of those options!!!!

update- contacted my gi doctor and was told they are only doing virtual visits. if it's a real medical emergency, go to the er. back to square 1!!! you see how the system fails you!?! really disheartening. not sure what to do next.",May Z.,2020-06-12,https://www.yelp.com/biz/silver-cross-hospital-new-lenox?adjust_creative=upenn&hrid=h0G7UIAC33sf8PDubhMWzg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Silver Cross Hospital,False,117,2.5,2020-06-12T08:33:44,18153001100.0,http://www.silvercross.org/find-a-physician,https://www.yelp.com/biz/silver-cross-hospital-new-lenox?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1900 Silver Cross Blvd,New Lenox,IL,US,60451.0,,,Hospitals,Rehabilitation Center,,,,
34568,ju8N7IgceGJyF8LIGeh-HQ,SnmeAVIq8BnGycRc6s87gA,1,"my husband had a video chat with dr rama and she told us he needed to go get his blood drawn.  i asked any time we can go, her answer yes!  so three week to his visit to the doctor we went to get his blood drawn but needless to say the girl at the drawn station told us they cannot do it until two or one week to doctor visit.  wth! they could not let him get his blood draw three week but two week is ok. are you kidding me...... i was so pissed. it's getting to the point that i'm sick of them getting rid of there doctor.  this makes doctor number three.  we were happy with our last one now we start over.  i'm getting to the point i will go outside to start getting a doctor.  

just talk to your drawn station they need to draw when people show up for this is not the safe place to be or keep coming back too.  not only it's scary cause of the virus but i don't see anyone wipe down the chairs people sit in.  i will not sit in those dirty chair.  i'll stand.  the hospital should be spotless at all time and that means chair also.  i done and so over it!!",Shirley M.,2020-05-18,https://www.yelp.com/biz/st-davids-north-austin-medical-center-austin-3?adjust_creative=upenn&hrid=SnmeAVIq8BnGycRc6s87gA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,St David's North Austin Medical Center,False,194,3.0,2020-06-01T17:31:25,15129011000.0,http://www.stdavids.com,https://www.yelp.com/biz/st-davids-north-austin-medical-center-austin-3?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,12221 N Mopac Expy,Austin,TX,US,78758.0,,,Medical Centers,,,,,
38162,pebG13HP_qJDKun9QYKHOA,4wiGl0XfX65mN2iDel_wBw,3,"i am a fan of ucla mostly the thousand oaks office since​ its close to home. i needed to get in with a gi dr. i ended up doing a zoom with a gi and we got the ball rolling coming to find​​ that i need a upper endoscopey and labs done. they got me in with the nutritionist​ and the labs super fast. because​ of covid,​​ they require​ that i have a test done. so that was easy but super painful. the doctor that i really wanted was not available​ until​ july but then i end​ up getting in with her. after the call,​l  have the procedure​ planned. we got a call the day before​ and knew where to go. upon arrival​ at the hospital,​ parking was kinda hard. we got inside because​ of covid​ they would not let my mom come with me. after i have any procedure​ with the​ ​anesthesia​ medicine​ i do not remember​ anything that happend. the whole proscces was kinda rushed for me i was passed to so many different nurses and rooms. now i have had surgey at ucla places before and they were way different and much calmer. they thought that my vitals​ where kinda off. well,​ i am super scared and worried as well as they coverd me with a lot of blakets. i was so scared that i just wanted to cry and run away. the nurses only came in and stayed for a sec and left me with so much confusion. at the other place​,​ they have one nurse that does all preop,​ and then you meet the team. much more relaxed. i finely get to meet my doctor that was the first time i was not scared. they finally​ got me in the room and the anesthesiologist​ could tell i was scared and got me to laugh a little. they all gathered in and start talking. the nurse started getting me in the right position​ and then it made me more scared​ and i started​ to panicked​. thankfully my amazing doctor connolly come over and held my hand as i fell asleep. when i was done it took me along time to wake up and the nurses​ were kinda worried that i was not waking up as fast as everyone​ else. they finally​ got me up and dresses and then i was on the way home. now wating for the results the endoscopy​ it was not horrible​ my throat​ is sore and i have to cough alot and the anesthetic​ is still in me 24 hours later but on the mend. surgery​ is not easy and kinda scary even for adults. just think if you never had done something before would you be scared​ too? i am very happy that my doctor was there and help make it way easier​ for me to get through​ it and made it less scary.",Ahna D.,2020-05-20,https://www.yelp.com/biz/ucla-medical-center-santa-monica-santa-monica-3?adjust_creative=upenn&hrid=4wiGl0XfX65mN2iDel_wBw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,"UCLA Medical Center, Santa Monica",False,313,3.5,2020-05-20T21:32:24,14242596000.0,http://www.uclahealth.org/,https://www.yelp.com/biz/ucla-medical-center-santa-monica-santa-monica-3?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1250 16th Street,Santa Monica,CA,US,90404.0,,,Medical Centers,Internal Medicine,,,,
51561,tNm_oVWLju_ql7c4O7kTrA,l_EUo48pCngg-MLF-7RGDw,5,"i was a bit worried coming here for a cardiology appointment right now. when i arrived, the parking attendants were wearing masks and did not remove them to answer questions (win). when i walked in to the main floor, my temperature was taken, masks were available for those who weren't wearing one (mask enforcement=win), and all employees wore masks. social distancing in lines were not enforced and neither was social distancing in the waiting area. i did like that used pens were to be put in a separate container. another patient explained the elevator system to me(before getting in, you select your floor and it tells you which elevator to use). i hate paying for parking when i'm already paying for lab work and the doctor appointment. it was ~$7 for 3.5 hours. 

my appointment itself went smoothly and was on time. the walls were bright and had cute paintings. there were televisions in the blood draw rooms to distract kids when getting their blood taken. my cardiologist was thorough and explained things really well. 

i really want to compliment my team because during the pandemic they were on top of getting my medical records from previous doctors.  they were persistent and it paid off. i appreciate them setting up a telehealth appointment as my initial appointment before my in-person appointment.",Rosanita R.,2020-06-16,https://www.yelp.com/biz/childrens-national-main-hospital-washington-2?adjust_creative=upenn&hrid=l_EUo48pCngg-MLF-7RGDw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Children's National - Main Hospital,False,72,3.0,2020-06-27T21:39:24,18888842327.0,http://www.childrensnational.org,https://www.yelp.com/biz/childrens-national-main-hospital-washington-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,111 Michigan Ave NW,Washington,DC,US,20010.0,,,Pediatricians,,,,,
55417,Tkrt8k-AySurm2ukWjb68w,lAq8mJ9znuSk7UCer7qccw,3,"have used this hospital on two different occasions.  the care has been good.  my cardiologist, dr. mike galloway, came here from montage.  a number of his patients, including me, followed him over.  staff are nice.  however, had an earlier appointment cancelled and rescheduled because  there was some sort of staff function that day.  have never heard of patient care being cancelled due to a staff function.  emailed a complaint. 
no response, of course. a few days before the appointment nativdad called and asked if the appointment can be done over the phone.  ""no, need the doctor to check the heart valve he had me get several years ago.""  telemedicine may work for some things, but not for heart patients.  kind of hard for the doctor to try to listen to your heart over the phone, i would think.  but should i need more heart surgery will go to chomp.  simply much more comfortable there.",Michael M.,2020-05-31,https://www.yelp.com/biz/natividad-medical-center-salinas-7?adjust_creative=upenn&hrid=lAq8mJ9znuSk7UCer7qccw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Natividad Medical Center,False,70,2.5,2020-06-25T03:06:06,18317554111.0,https://www.natividad.com,https://www.yelp.com/biz/natividad-medical-center-salinas-7?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1441 Constitution Blvd,Salinas,CA,US,93906.0,,,Medical Centers,,,,,
63872,l6kNa4qHe6meSDz981HB4Q,Y_u6kduem7IaSWJ-mhSe6Q,1,"my wife is pregnant and has severe anxiety. it is reported in her medical record that she has adjustment disorder with mixed anxiety and depression.

i am not allowed to accompany her on the appointments. i am not allowed to be with here during her ultrasounds, and i wasn't even allowed to be on video chat during her last ultrasound. i have been excluded from the experience of having my first child. i am extremely disappointed.",Aaron S.,2020-06-26,https://www.yelp.com/biz/kaiser-permanente-woodland-hills-medical-center-woodland-hills-2?adjust_creative=upenn&hrid=Y_u6kduem7IaSWJ-mhSe6Q&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Kaiser Permanente Woodland Hills Medical Center,False,353,3.0,2020-06-26T13:20:23,18335742273.0,http://kaiserpermanente.org,https://www.yelp.com/biz/kaiser-permanente-woodland-hills-medical-center-woodland-hills-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,5601 De Soto Ave,Woodland Hills,CA,US,91367.0,,,Hospitals,,,,,
