,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,67858,0.0,0.3801,"feel, make, treatment, amazing, skin, love, comfortable, result, face, happy","i love this place! everyone here is so kind and welcoming! i never feel out of place. regan is the best injector ever! omg! i was super scared to get my lips done but i'm so glad i decided to take the plunge because i love them. regan is an artist with steady hands, a warm bed side manner and an excellent artistic eye! he makes sure he delivers you perfection everytime! i'm so happy with my decision to come here. regan came highly recommended in a utah beauty group with over 30,000 memembers. glad i listened to everyone's recommendation and came here!

honestly i look so damn good. i love my lips so much! i feel so sexy!  i thought i was going to proudly rep the small lip club forever but i'm glad i decided to try the mini! i loved the mini so much i decided to upgrade to a full syringe! the difference wasn't too drastic with a mini, so if you're on the fence try it. the full syringe was one of the best decisions i ever made honestly.  i feel so beautiful and i wasn't expecting to love my results so much! the difference in my face is unreal! i love my look so much more now!!thank you beauty lab!"
1,2579,1.0,0.4236,"pain, back, week, walk, day, foot, start, hand, leave, give","i do not normally submit reviews, but i believe this is a public service warning about what could happen if you use the services of dr. afshin kalvan-mehr.

i was in a serious auto accident and my lawyer told me to see a chiropractor so that i could be referred for more specific medical care.  based on his office location close to my home and good online reviews, i scheduled a visit with the dr. 

at my first visit, i gave him paperwork describing my injuries. he asked me what body parts hurt and their pain levels.  i explained i had neck and upper back pain from cracking the windshield with my head, pain from a broken sternum, and knees pain.  i told the dr my neck and upper back were improving with pain levels about 4 or 5.  but i was worried about the sternum and the knees pain which i rated at a pain level of 8 or 9 and wanted to be referred for mri  i also told him i had a concussion and was occasionally dizzy but my condition was improving enough that i was cleared by my primary physician to go back to work in less than 2 weeks after a total of 4 weeks disability.  he performed some flexing tests of my knees and told me he would refer me for mri for the entire body including the brain.  he then told me to return in 2 days for treatment.

on the second visit he used a tens unit to electrically stimulate my knees.  this helped when done on my back during prior physical therapy, but i did not have effect on my knees. he said he would do some additional treatment and told me to lie chest down on a table and immediately cracked the thoracic and lumber region of my back by placing his hand on my back and putting all his weight on it.  i screamed due to the excruciating pain in my sternum.  he asked me if i was shocked by the treatment, but i told him i screamed due to pain from pressure on my chest.  i was told to come in 2 days.

at the third visit his secretary used the tens unit on my knees again.  i had the knee xrays from my pmd and after inspecting the xrays the dr told me there was no fracture in my knees. i said i told him i knew the bones were not fractured but suspected ligament damage based on the pain, the knee popping, and what the physical therapist had told me, this is why i was asking for mri of the knees.  the dr insisted on manipulating the knees for treatment and started pulling on my legs. then the dr placed me face down on the exam table and pushed on my back agian.  i thought that was the full treatment and i would now get the mri referrals, but unexpectedly he cracked my neck violently on the right shoulder side.  this did not produce pain but did produce an immediate throbbing headache and dizziness.  i was expecting to be referred for the mri, but instead was told to come back three times a week for a month to see if his treatment would work.  i left the office to sleep and deal with the headache.  the next morning, my neck and upper back started aching with intense and shooting pain and cracking with every movement, including in my arms and shoulders.  at this point, i was scheduled to return to work in 1 week, but the pain became so unbearable, i went back to my primary care physician for a checkup and additional neck and back xrays due to pain.  when compared to the xrays taken after the auto accident these new xrays did show cervical lordosis that did not show up before.  i was told to rest and return for another checkup a few days later, on the day i had been cleared to return to work.  the pain continued to increase and spread to my arms, making them burning and numb, my hands weak and i felt even worse than immediately after the auto accident. i was not sleeping and could barely move around or function. going back to work on my scheduled day was now out of the question. i was also told to not go back to a chiropractor and was prescribed additional pain and nerve blocking medication so that i could survive.  

against my wishes my lawyer told me to go to back to the dr to get mri referral for my knees. i insisted i would not be treated by this doctor again, yet i wanted to get the referral. my lawyer ensured me that the doctor was explicitly directed not to touch my back and chest and no manipulations, he will just provide the mri referral. i was supposed to be contacted by the doctor, but he never called despite multiple phone calls from the lawyer. 

now two week later, i am still in intense pain and would never go see a chiropractor again.  i do not recommend dr. kalvan-mehr at all based on my experience. i would put negative five starts but it's not allowed."
2,53502,2.0,0.4656,"call, appointment, phone, day, schedule, week, receive, message, appt, leave","i called sap on a thursday to make an appointment. i got no answer & as soon as i hung up i got an automated text saying ""hi, sorry i missed your call. how can i help you? sneak a peek"" i told them i would like an appointment & asked if she had saturday available. she did not respond until the next day until almost 3:00, which was about 24 hours later. then, i asked her specific dates & times because since she took a whole day to respond, i had to try for different dates so i can rearrange my whole schedule. no response whatsoever. so i called again the next day. no answer. then i get a random text confirming someone else's appointment! so i screenshot it to her stating that that wasn't my name and i didn't make that appointment (assuming she's sent it to the wrong person). again, no response. so i called again, of course got the voicemail, go figure. then i got the automated text again so i stated that i would like to speak on the phone for an appointment (because obviously trying over text for a few days & getting one response from them per day is not working when if they would just answer the phone or give a call back i could get an appointment scheduled within minutes instead of days!!!!)4 hours later (and some days later) i finally got a call back with a voicemail but i didn't answer the call because they called from ""unknown""!!!!! so i wasn't going to answer a call that didn't even have a phone number. at that point, i had already made an appointment at another 3-4d ultrasound place in beaumont. it's way more expensive than here but honestly its worth it instead of dealing with this place that is so unprofessional, tacky, and obviously doesn't want business bad enough if they can't even answer their phone or even respond!!!!!"
3,62493,3.0,0.4453,"make, baby, feel, experience, son, child, daughter, husband, kid, give","if you're looking for a labor/delivery or postpartum doula, look no further than melanie. melanie is not only an amazing doula but a wonderful person that guided us through this extremely personal experience. her presence alone brings calm energy and confidence. the first thing she said to us was that she believes in evidence-based science and wanted to provide us with the knowledge we needed to make the important decisions that were coming. it was exactly what we needed to hear.

below are just some of the amazing ways that melanie supported us.

prenatal visits: prior to labor/delivery, melanie came to our house three times for a meet-and-greet, a discussion on our birth preferences, nutrition, nursery set up, etc. during these sessions, we worked on exercises to get the baby in the best position possible for birth. before we had those sessions, we kept asking ourselves, ""how are we going to do this?"" and ""what in the world do we do?"" after those sessions, we were empowered with the confidence and knowledge to make the right decisions. when the baby decided to wait a few extra days and our doctor wanted to schedule an induction, melanie talked us through our options and let us know that we have a say in when to schedule the induction as we wanted to wait until 41+5 instead of 41+3. fortunately, we didn't need to be induced, but melanie empowered us to push back on the doctor and do what we thought was best for our baby girl.

labor/delivery: my labor did not go the way we had planned. unfortunately, i had back labor and had to go to the hospital much earlier than anticipated and got an epidural much earlier in the process then we had planned. my husband called melanie at 2 in the morning to let her know things were starting, and an hour later, she was at hour house, helping us through the painful stages of early labor, helping make the decision about when we needed to go to the hospital. as i was struggling through the back labor and trying to avoid an epidural, melanie looked at me and said 'you don't have to suffer and you're not giving up by getting an epidural'. that one line of encouragement made me feel that it was okay to get the epidural and that i wasn't throwing in the towel too early; she made me confident in my decision. from then on, she supported me and my husband through the labor and delivery process. she encouraged us to sleep while labor progressed (which you can do with an epidural), moved me into different positions every 45 minutes and talked us through the doctor's recommendations to make sure the labor was progressing in the way we wanted it to. she gave my husband jobs so he was active in the delivery. she suggested different positions to push from when the nurses wanted to keep me on my back (which wasn't working). melanie got me into a squat position and that's when our baby finally engaged started moving in the right direction. melanie was with us until the baby had latched and started feeding.

our baby would have arrived without melanie, to be sure, but we would not have been remotely as comfortable or confident in the process without her. she explained (in non-doctor speak) every step of the process to the two of us, enabling us to make the decisions we wanted. in short, melanie allowed us to maintain our sanity.

postpartum: thank goodness we did this! while we had taken all of the recommended classes at the pump station, nothing can prepare you for this new adventure - the highs and especially the lows. the obvious benefit during the first few days or weeks is the sleep - melanie would bring our baby in to feed and then take her to change her and soothe her back to sleep. that allowed my husband and me to actually get some sleep and to be able to be more present during the day with our baby. but in truth, the greater benefit from our nights with melanie came from the ""lessons"" we'd do each evening. we worked on bottle feeding, bathing, diaper changes, etc... all of the vitally important tasks you have to perform as a parent that you can't be taught in any kind of a classroom.

even after our contract with melanie was over, she has continued to be our rock. we text or speak with her regularly as we continue our journey with our little girl. a doula is expensive and is an integral part of the single most intimate experience of your life. accordingly, you want to make a decision that is best for you and your baby. we cannot recommend enough that you consider melanie for this process. since the weeks before the birth and continuing at least once a day since we've had our bundle of joy, my husband and i have looked at each other and said, ""we never could have done this without melanie."" she's one of life's truly great people, and she will help make your transition to parenthood so much easier."
4,119672,4.0,0.4692,"insurance, pay, charge, bill, receive, send, money, company, visit, cost","horrible customer service in the billing department. my payment plan ended. which they shouldn't end. they never notified me it ended. they said that's not their job. they got my bill in pre-collections. they never sent me a letter in the mail stating that. their providers keep leaving. every time i have to see a new provider it costs me $300. if my provider actually stays it's $200 or something. i don't even know. they're not clear. 
their policy states that you have to go in every 3 months if you take a controlled substance. so i'm being forced to pay and be seen more than i need to or can afford. their billing representatives are very rude and wouldn't even tell me why they can't send me a statement saying my bill is in pre-collections. they were just going to screw up my credit and not even tell me when i believed i had a payment plan. horrible customer service. rude representatives. a very poorly run company. that's probably why their staff keep leaving.
so now i actually asked them if they have financial assistance. apparently they do. you'd think they would of told me that when i was telling them how i was struggling to pay the bill. but the financial assistance won't help you if you can't pay the bill. the financial assistance will make the bill less. but you have to pay the whole bill at once then. so if you can't pay the bill you're screwed and have to pay the full amount through the payment plan. also the financial assistance is bs. if i were poor enough to qualify, i'd qualify for medical assistance. 
i've also been trying to contact the manager about one of the charges on my bill because i didn't get benefit out of the appointment. they put me on hold 15 minutes just to give me the managers voice mail. the manager won't reply to my voicemails. 
they offered me a credit card to pay my bill. but you can't add future bills to it. and it charges interest. they wanted me to pay the credit card with interest and pay them for future charges. so i might as well suffer paying more than i can afford to the payment plan than paying interest and to 2 places. i was previously told i could set up a payment plan for a year. this time the idiot representative would only let me do 10 months. i would so sick of dealing with it and them about to take me to collections without notice that i just told her whatever to set it up. of course there was no note in my account about the year payment plan. 
this place is ruthless. they don't care about your mental health. all they want is money. 
i actually called the apple valley office because i'm tired of dealing with these people. the guy there was very kind. he said he's sorry they didn't explain to me that my payment plan ends in 6 months and that new bills don't get added. he still said i have to pay the full bill for the financial assistance, but he explained why. he wrote a letter to his supervisor about the bill i don't think i should be liable for. i got his supervisors voicemail. hopefully he'll get back to me since woodbury won't."
5,57332,5.0,0.3898,"doctor, care, test, clinic, urgent, blood, result, symptom, visit, medical","this is my story, please note, this is being toned down.
went to crmc on 25 december 2019 for sever lower left side abdomen pain and unable to get my blood sugar under 250. 

i informed the admission desk, intake nurses and doctors that i got six steroid injections into my feet a few days earlier. at the time i went to crmc er my blood sugar was 287. all the above personnel told me that they don't treat blood sugar until it gets 300+. that should be have been my first clue to leave and go to another medical facility. shame on me, due to the pain i stayed. 

it gets better, the doctor ordered lab (blood) test, waited for the lab (blood) results and the doctor ordered an ct scan with contrast. i told them that the last time i had contrast, it created pain in my kidneys and i didn't want the contrast (two times). 

well, the x-ray tech, stated, your kidney lab results came in and it showed your kidneys are fine, they never orders a gfr test. again told her not to administer the contrast, she administered the contrast anyways. 

immediately thereafter, i exhibited kidney issues and on 31 december 2019 was diagnosed with stage 3b renal failure. 
12 december 2019, normal gfr and creatinine results
25 december 2019, crmc er didn't order gfr and creatinine test.
notified all crmc personnel that i came in front of, the recent steroid injections, diabetic, hypertension and the er gave me large dose of antibiotics for ten days. 
31 december 2019, diagnosed with stage 3b renal failure.

steroid injections effective blood sugar and kidney functions. being a diabetic with hypertension, contrast dye, high dose of antibiotics, steroid injections should be a clue for kidney functions issues.

when i saw my endocrinologist and nephrologist and explained the above, they were shocked why the er doctors didn't treat my high blood sugar, (they both asked me twice why they didn't treat my high blood sugar). when i told them about the contrast dye, they put their heads down and negatively turned their heads. 

hopefully crmc will take the above as a learning experience and i promise that i will never ever go back there nor will i allow any family member to go there."
6,24517,6.0,0.4232,"work, make, client, good, life, change, start, plan, group, person","the coaches are very knowledgeable in stretches, exercises, nutrition, positive mental attitude and everything involved with leading a healthy active lifestyle. i've attended classes coached by laura, scott, and aaron and found them all to be friendly, professional, and eager to instruct. they give good guidance on how to do the workouts with good form to prevent injuries and maximize gains. the workouts are a great variety of exercises which vary by class. the classes maintain an excellent ratio of upper body, lower body and balance. the nutrition plan for myself has been life changing. i've always somewhat knew the benefits of eating healthy but never fully committed to it. i truly appreciated that the approved proteins, carbs, greens and fats were all spelled out along with a portion size for each meal. it made it so easy for someone new to eating healthy like myself to get started. alta performance institute also has a very active facebook group that shares information and allows for interaction with the coaches and other members. it is not just a gym but a community of like minded individuals committed to getting fit. at their monterey location they have a scale linked to the inbody app that will track your weight, muscle mass, body fat, etc. these types of readouts provide motivation for myself as i strive to be bettter. overall this is an excellent program with a committed and passionate leader. aaron never seems to settle for what things are but looks to evolve his institue for the greater. this benefits everyone involved."
7,7723,7.0,0.4134,"place, massage, area, good, lot, offer, clean, nice, service, price","i so desperately wanted to be able to give this 5 stars and tell you it was fantastic! but it was ""ok"". i entered the beautiful building and was greeted by friendly staff. they escorted me to the woman's dressing rooms. the bathrooms were bright and accommodating. i had to suck up my pride and ask for a larger robe. after i was naked for the second time i noticed the robe had black marks all on the bottom of it... like it was once washed with a sandal or something. it smelt clean so i just rolled with it.  when i was ready they treated me with a glass of champagne and i was escorted to the sitting room. the room was large with a variety of different seats, a nice fo fire place. the blinds were closed but it was still bright. i prefer a darker room but it was still lovely. i waited there for about 10-12 minutes as i filled out my paper work. i was soon joined by another young woman. i didn't mind but in my other experiences they spread the guests out in  different rooms (they weren't busy and there were other open sitting rooms). my treatment was the woodhouse escape. this is the description: ""experience peace and harmony of body, mind and spirit with a taste of seven specialized treatments. this blissful, head-to-toe ritual begins with a dry brush exfoliation followed by therapeutic stone massage. next, a focus on neck and shoulders to release upper body tension, followed by relaxing and renewing acupressure, scalp and hand & arm massage. your escape ends with the restorative ancient art of reflexology. "". i was so ready to relax after a stressful few months. i was greeted by a kind young, male therapist who got me set up in the room. prior to getting started he mentioned everything listed but the scalp and head massage which i kindly asked about. he started with the head massage.. which was pretty good... would have preferred it with some tea tree oil. my biggest disappointment was the fact he went out of order....  
he went through the appt like a full body massage focusing on each area separately..so after i was nice and relaxed from him rubbing my shoulders... he would then dry brush my arm.. then massage my arm.. then move on to my other arm and so on. so as soon as i  would get nice and relaxed i had to endure the painful dry brush. i've had dry brush before but this was intense.. i had to ask him to go lighter and it was still barely tolerable. i stuck it out because i do have rough patches on my arms and legs. the massage was barely a heated stone.. it was basically a swedish.. followed by him rubbing the stones on each body part up and down twice. (my lasted heated stone used the stones for 60-70% of the  massage...you pay extra for those bad boys!)  and the massage oil was a dry oil... either my skin was super dry or he wasn't very liberal with the oil for my big body...it very quickly felt like someone rubbing a dry hand up and  down my already sensitive skin from the aggressive exfoliation... which probably needed more moisture now more than ever. the reflexology he did about 30% in on my massage... now that was amazing! i'm a serious fan of that! and the only ""hand"" massage i got was the bare minimum  when he was massaging my arm... and definitely didn't include any ""extra"" oil. in fact as soon as i was done the first thing i did was put some lotion on my hands they felt so dry compared to the rest of my body. the experience was finished off with some sort of exfoliating scrub which was wiped  off with warm towels. over all i though the therapist was fair.. he had asked if i had wanted any areas addressed.. i asked for my lower back because i had some positional right leg nerve irritation..: which is brought on by spasms... there was 0 extra attention there.. if anything probably massaged the least. i wouldn't say i'm opposed to having him again but definitely needs some education for this experience . afterwards i went back to the sitting room and drank some water when another woman came in so i decided to hit the showers. 
the shower i entered had old dried shampoo and condition all over the dispenser and someone else's old bobby pins on top. and the bath towel i grabbed had the  same black marks on it as my robe... probably not their fault... it was clearly clean but just didn't look good. after my shower i alerted staff of the shower needing tending to. 
don't get me wrong it was still a fair experience but my hopes were much higher considering my previous experience at the montgomery location. after spending nearly $300.00 on the massage experience including tip, tax, and a $18 bottle of massage oil for home... i expect a $300.00 service. i could have had the same thing at a chain market massage location for half the cost.

you would be better off getting 110 minute heated stone and saving $50.
over all i prefer the montgomery location better for environment"
8,34291,8.0,0.2106,"year, time, find, issue, month, problem, work, ago, change, make","just wanted to update how i am doing after being at cornerstone back from december 2009-may 2010.  as i had stated in my initial review, cornerstone(dr. stone in particular) saved my life.  i had various medical issues, and had been on meds( pain meds and ativan) to alleviate my problems.  these drugs, of course, complicated my problems.  

the staff and dr. stone in particular, helped me work through my various medical problems and took me to medical appts.  

we are now in 2020, have had other medical issues since i left cornerstone; however, have not gone back to my addictive habits...cornerstone set the groundwork and i remember all i learned while there and continue to remain ""addiction free.""

cornerstone saved my life and i continue to be grateful to this day to all they did for me at a time of my life when no other facility was really interested in helping me...

thank you dr. stone and the people at cornerstone...i will be forever grateful to you all!"
9,52206,9.0,0.2287,"staff, great, friendly, helpful, experience, nice, professional, easy, super, good","oh my gosh...i can't wait to be sick again so i can go see medcove!! 1st time here today and wow....so glad i came  here...even over my own doctor!! everyone there is beyond, beyond fantastic!!! so helpful, caring and kind and everyone has a great personality. so clean and modern! easy parking, 2 dedicated spots up front, in a shopping center on corner of bonnie cove/arrow hwy in covina. came in at 2pm, filled out easy forms, sat for 3min and blam...inside!! spoke to the nurse, he was super nice. then in the room to wait for the doctor...about 10min. i did not get her name...but she was just soooo great!! so caring and explained everything to me, very efficient, professional with a great personality. she fixed me right up and i felt better immediately. i have lots of questions and she answered everyone quickly and to my satisfaction. she let me know everything i needed to know and then some. the doctors assistant was also super nice and did a great job...she was very nice and pleasant. the receptionist was great, great personality, smiling and friendly!! love medcove. i felt so welcome and not rushed. pharmacy next door...what could be better!!!!! i hope they expand to do a few more things for women. come here if you need an  urgent care, you can walk in, book online, call them. medcove is here for you!!! yay for all of us!!! thanks everyone...you all rock!!"
