,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,8746,0.0,0.416,"test, covid, result, day, back, time, clinic, blood, work, lab","as of april 2, california had a relatively low number of coronavirus cases per capita, compared to new york, new jersey, and louisiana.  california health officials and politicians, don't pat yourself on the back just yet.  just check the number of covid-19 tests processed: new york 239,000 and california 33,000.  

as of march 31, one of california's major commercial lab testers of covid-19, quest diagnostics, had 115,000 covid-19 test results pending in 12 labs across the country.   this is due partly to a shortage of trained technicians to run the lab test machines, and a shortage of the testing reagents, many of which imported from china and other countries.  california itself has 59,500 covid-19 test results pending, with test results taking up to 10 days.  the state with the second most reported pending results is florida with 77,000 tests processed and 1,280 covid-19 test results pending. 

trump got his second covid-19 test result in 15 minutes.  much more essential people like emergency room doctors, er nurses, critical care nurses, anesthesiologists, nurse anesthetists, nurse practitioners, physician assistants, respiratory therapists, respiratory therapist technicians, intensive care technicians, emergency medical technicians, medical workers, health care workers, paramedics, medical first responders, police, and firefighters have been quarantined at home, away from work, for 10-12 days before finding out their covid-19 result were negative!  

worse yet, such an essential worker, negative at the time of testing, could be infected within the 10 day test result waiting period, receive their negative result from 10 days earlier, show no symptoms, and then go back to work infecting their professional work colleagues in addition to the patients they contact.

patient stays longer in hospitals awaiting covid-19 test results of up to 10 days.  subsequent heavier demands and usage of hospital staffing, hospital supplies, hospital bedding availability, and personal protective equipment, all of which already in short supply.    

an out patient may have flown on a full airplane, ridden on a bus, or gone to overcrowded stores like costco or walmart, infecting countless others, by the time a positive result is obtained 10 days later.     

the state is looking for other private labs to run covid-19 tests.  abbott labs just rolled out a covid-19 test that can get results in 5-13 minutes, manufacturing up to 50,000 test cartridges a day.  the white house gets them, but gives each state only 15 machines and 100 cartridges of these test kits.  so wyoming with 579,000 people gets the same number of test kits as california with 39,900,000 people.  we will have to continue to rely on getting results from quest diagnostics, with results taking  up to 10 days.  

california's april 3 count of 11290 coronavirus cases may be that of 10 days earlier-march 24, and is completely misleading.  the actual number of positive covid-19 results as of april 3 may be triple that, but won't be reported until 10 days from now, on april 13.

on the positive side: quest diagnostics backlog of 115,000 pending covid-19 test results on march 31 is an improvement of the 160,000 pending covid-19 test results on march 25.

april 21 update: new york has processed 669,982 tests or 34,151 per million residents, ranking 1st of the 50 states.  california has processed 300,100 tests or 7,666 per million residents, ranking 46th of the 50 states. 

on april 19 a panel of experts published a report saying that to begin to open up the country, 5 million tests would have to be processed daily.  to bring the economy up to full speed, 30 million tests would have to be processed daily.  not going to happen relying on private labs like quest diagnostics."
1,2846,1.0,0.3743,"call, phone, day, speak, receive, answer, number, email, leave, back","just horrible. my mother-in-law was transferred to morselife once the pace program deemed she needed more hospice services and care. thinking this was going to be a benefit to her, we agreed. my mother-in-law had stage 3 lung cancer and took a turn that brought her to morselife. my mother-in-law had dementia and was transferred to morselife immediately after pace's doctors assessed her. she was removed from what she knew and since we live out of state, we tried to called morselife to speak to her. we received a call from one individual about her admittance, but they didn't leave a number. we called the main number a min. 10 times before we finally got an operator to transfer to the nurse station. that didn't seem to matter since they too, don't know how to answer their phone. i left several message, tried several different times of that evening, but since it was after 5pm, it was like no one knew how to answer a phone.
my mother-in-law was at morselife just over 3 weeks. within those three weeks, trying to get in touch with my mother-in-law was board line impossible. the nurse station either kept ringing and went to voicemail, or the person would just blindly transfer a call to her room in hopes that she picked up. once again, i am out of state. my mother-in-law was dying. all she wanted to do is sleep and would barley eat. unless someone went in her room to entice her to wake up to eat, she would not eat, same for sleeping, i told the nurse this. being out of state, all i have is the phone. towards the end, since the corona virus happened, they locked down the hospital, leaving the phone as the only option to communicate with loved ones. calling them is pointless, they don't return phone calls, they just expect you to call back and hound them if you care that much.
on march 27th, 2020 at 7:50am, my husband received a phone call that he missed. the voicemail offered no valuable information. the nurse did not clearly state her name nor did she leave a phone number. tried the main number, no one wants to answer a phone. he called the main number several times, finally got a person, who transferred to another number that lead to a voicemail with an emergency number. the nurse that answered assumed it had to do with my mother-in-law's transfer to long term hospice. finally, the nurse manager called him back. guess what? my mom-in-law passed away. what place makes you jump around several hoops to find out your mom passed? what nurse doesn't leave her phone number; especially to try to notify a loved one that their family member passed?
to add the cherry on top, they lost her gold necklaces. when inquiring about next steps, we wanted to find out where her necklaces have gone since the funeral director stated she did not have them on her person. it was on the inventory list when she came to facility. these necklaces never left her body and have survived several assisted living facilities. however, conveniently, she passes and they are no where to be found. remember, the hospital was on lock down and the only people she saw were hospital workers. they launched an investigation, that the nurse manager said she would reach out to my by the end of the week (april 3rd). she never reached out. i called on april 3rd in the morning, left message. called in the afternoon, spoke to a nurse that took my information. the nurse manager never called me back.
i called today, april 6th. finally got the nurse manager. both my husband and i were on the call. guess what? they couldn't find the necklaces. why am i not surprised. the kicker, they said they called my husband at admittance to talk about personal belongings. i reminded them how horrible it is to even try to get a person on the phone to discuss anything. they take zero responsibility, offer zero solutions, they said sorry and that was it. they mentioned that my mother-in-law was thrashing and ripping off her clothes at the end. we are the health care surrogates, why weren't we notified? why didn't a nurse suggest maybe removing the necklaces then? communication there sucks!!!!"
2,9231,2.0,0.2914,"people, bad, thing, leave, treat, give, talk, happen, run, guy","well where to begin? oh i know. debbie. that is the name of the so called ""manager"" of mind brain institute. terrible management that they have. debbie is not helpful what so ever, clearly shows that she does not care about the patients. i have never been so angry at a human being in my life. when i tell you she brought out the worst in me. ridiculous person running the practice, never could i get a straight answer from her, she went back and forth with different details. i need specific disability papers done for school due to the covid19 and she has the audacity to tell me that i had to pay $500 to get 3 pages of paper work done. mind you i have insurance, and she said that's the best she could do. now who in the right mind asks for $500 for paperwork? this is insane, debbie and the owner clearly are very money hungry. i hope no one ever has so struggle as much as i have with them. terrible your prior authorization people take forever covid19 or not. your paperwork people take forever covid19 or not. i have read other reviews of people complaining the same thing. so for debbie to tell me that they lack the ability to help because of the virus is a joke, because this is just how they run there office always. debbie was also incapable of giving me a phone number or contact information of her boss or anyone above her, my guess is she didn't want someone to complain about her. well debbie messed with the wrong person because i get things done and i will not let you get in my way of me getting what i need. debbie needs to be replaced with someone who actually cares. i work in health care and i plan to the rest of my life and i know why empathy sounds like and she lacks zero skill of any type of compassion for patients. something needs to be fixed and changed, this type of healthcare can not continue on. people need help and you are supposed to provide help and firm answers. debbie lacks every skill that a manager needs and needless to say debbie your not supposed to hang up on someone when they are speaking to you. totally unprofessional, i'm still so upset with her."
3,2241,3.0,0.2824,"appointment, office, time, make, schedule, week, visit, cancel, call, doctor","i have been a patient of dr. hoelchers' for several years and have seen several concerning patterns within his practice.

this dr. does not respect the time of his customers (patients). i went in for my annual checkup having labs done two weeks prior and was told during my appointment that i needed to schedule another appointment to review my lab work. i would have appreciated a phone call stating that my labs were not available and that i would need to reschedule my appointment if it was a requirement that my labs were reviewed with me in person so that i could schedule another appointment. this no doubt could have been uploaded to my patient portal and discussed with me over the phone, saving me from paying for another office visit and the time that it takes out of my busy schedule to go to another appointment. nevertheless as requested i scheduled another appointment.

on the date of the subsequent appointment i was 12 minutes late due to being required to fill out paperwork at my job (dod) before i left for the day due to contingency situations with covid 19. i was then told that it was their policy that a $45 no show fee is charged if the customer is more than 10 minutes late for their appointment and there was no way that they could remove the charge. i stated that i would gladly wait for my appointment that same day because all we were doing was going over labwork. i was then told that i needed to either reschedule or i could get a telemedicine appointment the next day where i will no doubt be charged for another appointment and an additional fee for telemedicine.

in my most recent appointment, i was also informed that i was being charged for something over a year later that was covered under my insurance plan.

additionally, you do not see the dr. at all you see a pa where previously i was seeing dr. hoelscher directly. the pa is nice, thorough, and takes the time to answer any questions that you have, but  i may not be receiving the level of care that i previously had been receiving. 

furthermore, the front office staff have no empathy for their customers at all and act like mindless automata. all forms are printed and as a blind person, i have requested numerous times that my forms be sent in an accessible format or to be filled out prior to the appointment via the patient portal so that i can fill them out myself. why in 2020 are they still using a paper questionnaire when all of this information is then typed into a computer later on? i have informed the staff about how to make these forms accessible and more convenient for their patients time and time again, but i keep getting told that ""there is no way for us to accomplish that."" this has the alternative benefit of minimizing the spread of microorganisms, etc. i am sure that other offices have no doubt figured it out."
4,4419,4.0,0.4154,"feel, place, face, skin, treatment, good, massage, start, facial, back","all i can say is wow after i looked in the mirror after my treatment. also i immediately noticed the center of my face and eye area looked much brighter and my eyes seemed to pop. i said wow i don't even need makeup now! nikki and bianca were so nice as well as the rest of the staff when i checked in. 
1. wiped my face clean with a pad
2. applied a creamy oatmeal mask while massaging it over my face. i really liked the texture and the cooking of this mask! 
3. 2a. she then cupped my face with the mask on while gently but firmly suctioning and gliding the cup all around my face. i definitely liked this treatment and felt a relief/ got the blood circulating/ woke me up.
4. she then took a really nice hot damp towel and wiped the rest of the oatmeal mask off. this part was also very relaxing and felt so so nice with that warm towel.
5. she then applied 2 layers of the chemical peel. with each layer it felt like she put a thin layer all around my face and maybe let it sit for 10-15 seconds. during this application she asked me how i was feeling and what amount of discomfort i was in on a scale of 1-10 (10 being the worst) i said about a 3. i felt a slight tingle but it wasn't anything comparable to a burning sensation as i thought it would be. this was after doing some research and looking at videos online showing a much more painful process other people reported they experienced. 
6. after nikki wiped the 2nd layer of peel she then applied various creams on my face which smelled really nice and also massages it in nicely.

summary: i literally was so happy with the way my skin looked and felt. i would definitely recommend the peel to anyone who's looking for something to ""brighten"" their day lol."
5,10163,5.0,0.3775,"insurance, pay, prescription, charge, money, pharmacy, company, month, bill, send","make sure you get all estimates in writing. my wife was fitted for a knee brace and was told the brace would be covered by insurance. then we received a bill for 932 dollars.  i used the product code to look up the cost of the brace and found multiple places where the brace was selling for under 350 dollars.  i questioned muirs billing department and they told me their contract with cigna allowed them to charge 932 dollars for a 350 brace.  i was working with cigna to challenge the cost and i received a letter from muir saying they were going to send the bill to a collection agency.  this is during the covid 19 pandemic and most companies are waiving late fees.   i ended up paying 632 dollars, my cost after cigna payment.  so i ended up paying 632 dollars for a brace i could of bought for 350 dollars... really disappointing."
6,19,6.0,0.3955,"doctor, virus, symptom, care, sick, urgent, give, cough, bad, flu","i have a number of autoimmune disorders and take a very heavy-duty immunosuppressant plus another daily, weaker med that does the same thing. so when i get sick, i get significantly sicker than your average patient. i went to the minute clinic last week with a severely swollen and sore throat, low-grade fever, evidence of infection in my sinuses, cough and inflamed lymph nodes. saw a nurse practitioner who took a strep culture and gave me lidocaine for the throat. i have no issue with her treatment, as i feel waiting for results was reasonable.

however, the next day (which is now five days after i initially got sick), i was significantly worse. at this point, my tonsils were swollen so badly, i was worried about it affecting my breathing and i called to see if she could prescribe something while we waited for the strep test. it was a different np this day and she refused to even speak with me and, as it was relayed to me, was ""annoyed"" i hadn't gone through ""proper channels"" to ask my question. 

later that day, the strep culture came back negative. the nurse still refused to speak with me, told me through her lpn that it was a virus that just needed to ""run its course"" and wouldn't listen when i tried to explain that my immune system isn't going to be able to fight it without some medical intervention.

the following day, now day 6, i was still worse, but now i was having chest pain and difficulty breathing. at this point, i went to urgent care and saw an actual doctor who immediately recognized i needed help. he diagnosed me with strep (and told me that a huge percentage of strep cultures give a false negative because they aren't collected properly) that was rapidly developing into pneumonia, plus a bad case of pink eye. 

it's been almost a week now that i've been on antibiotics, steroids and eye drops and i'm slowly recovering. a lot of this could have been avoided, had the provider at cvs actually listened to me and taken my illness seriously. i understand a viral infection won't respond to antibiotics, but the nurse didn't even offer a steroid. she didn't show any care or concern at all. i definitely won't be going back to any minute clinic, as i felt the level of care was very poor."
7,10578,7.0,0.3141,"nurse, hospital, mom, home, mother, family, stay, care, facility, give","this review pertains to the care my 36 year old son received at porter adventist hospital after being transferred from mercy regional medical center (durango) almost two years ago.  two years is the length of time that i have spent trying to get justice for brian.  the lies, the condescending sympathy and the refusal to release recorded medical records (until i hired an attorney) have added greatly to the pain of losing my son.  brian had gone to the ed at mercy where he had a ct and egd the next day.   a giant pseudoaneurysm measuring 10.2 cm was found along with gastric and esophageal varices caused by thrombosis and erosive esophagitis most likely caused by multiple episodes of vomiting blood.  the mercy gi doctor shared the findings with a mercy vascular surgeon.  both doctors said they did not have the skill sets to treat brian and recommended that he be transferred to another hospital.  the vascular surgeon had to have known that brian needed urgent surgery because of the high probability of the giant pseudoaneurysm rupturing.  (brian had never been told that he had a giant pseudoaneurysm. he was told he had a blood clot.) to arrange the transfer, a mercy hospitalist had two conversations with a porter hospitalist and one conversation with a porter hepatologist.  the porter hospitalist also talked to a centura connect representative saying he didn't think porter doctors had skills beyond the skills that the mercy doctors had.  the transfer was still approved. the mercy hospitalist read the impressions from the egd that did not mention the size of the pseudoaneurysm.  the size of the pseudoaneurysm was only mentioned in the findings.  neither the porter hepatologist nor the porter hospitalist bothered to pull brian's records during or after the phone conversations.  they just listened to the mercy hospitalist read the impressions for 5 minutes.  the conversations started out talking about the need for surgery and then change to gi being the main reason for the transfer.  the pseudoaneurysm became a secondary concern.  brian left mercy on a flight for life plane in fair condition, but he actually had dangerously high blood pressure, a map reading with alert next to it and 9 out of 10 pain.  he was given an opioid for the pain right before the plane took off.  there was no plan for surgery when brian arrived at porter, instead he was assigned to an inpatient room.  shortly after arriving, brian's medical chart showed bp/high/alert!, map/alert! - nothing was done.  at 4:39am bp/high/alert!, map/alert! - nothing was done.  at 7:30am mottling skin, blue/pale - nothing was done. at 8:00am bp/high/alert!, map/alert! - nothing was done.  at 9:15am - brian was found moaning, doctor performed cpr for 45 minutes.  brian was pronounced dead at 10:03am.  the nurse manager called to say brian died and within the same minute says, what do you want us to do with his body?  my son's autopsy shows that he died from the rupture of a known aneurysm.  brian actually died from the lack of treatment, and an inept medical system.  per john hopkins hospital study - medical errors account for 1/3 of hospital deaths, but you will never see medical error as the cause of death on an autopsy report or on a death certificate.  as of today, there is a reported 60,726 covid-19 deaths in the us.  as of today, the number of deaths in 2020 caused by medical errors is probably much higher than the covid-19 deaths. medical errors are a silent, rampant epidemic and they are hidden from the patients' families."
8,5433,8.0,0.298,"wait, room, hour, minute, check, back, sit, time, walk, leave","this was the absolute biggest joke of a doctor's office.  to start off, i was very surprised to see the waiting room packed full of people (17 inside, plus more waiting outside) during this pandemic.  i ended up going outside to wait to try and avoid the crowd.  then it was the wait...i waited two hours before being called back.  a lady who i assume was the office manager could tell i was upset as i was sitting there waiting some more in the hallway, asked how my day was.  i told her it wasn't great when i go to the doctor and have to wait two hours to be called back.  she seemed surprised, and asked the ma to make sure i'm seen first after my x-rays.  so at this point, i was very annoyed, but figured perhaps there was an oversight, but if i would be seen soon then great.  i then was asked to sit in another chair further down the hallway in a nook area with two chairs.  a few minutes later, another lady was brought back to sit in the chair that was literally up against mine.  so much for 6 feet distancing here.  anyway, so i get my x-rays done, and am taken back to the exam room, where i waited, and waited, and waited.  finally after i had been there for three hours, i left the room, and asked to speak with the office manager. the girl walked to the back, then went to the front desk to speak with the lady up there, where she was giggling while i guess explaining that there was an upset patient. she then came back to where i was standing, and told me the office manager was with a patient, but i could go back to the room and wait some more for her to come speak with me.  right.  as if i was going to spend another minute there.  

i would never recommend this office to anyone.  there must be better spine doctors in this city.  i hope so anyway."
9,3509,9.0,0.4071,"service, review, time, work, due, business, close, situation, offer, write","extremely unresponsive and unprofessional. misleading messages and no integrity in doing the right thing.

i have been attempting to amicably cancel my membership for months now first due to moving away from not only the southland area, but away from colorado all together. 

after moving out of the state of colorado, we were all subject to the mercy of covid-19. massage envy spa has been negligent in responding to my first request to cancel membership due to moving out of the service area.

the manager amandalyn has now been sending promotional text messages offering this discount and that in order to keep my membership active for post covid-19 business.

i have responded ""no"" multiple times as this is not the fist reason i have been needing cancelation. the initial text message states:

""hi damiana, this is amandalyn, the manager of massage envy southlands. i hope you are doing well and staying safe! we are reaching out to our members to make sure that it is okay to process your membership dues while we are temporarily closed. if yes, i can offer you a free 30-minute upgrade. please respond ""yes"" if you agree to keep your membership active or ""no"" if you do not agree to remain an active member. we hope you are safe and healthy. we look forward to seeing you soon!""

here is the response from amandalyn after stating ""no"":

thank you. i'm sorry to hear you do not want to keep your membership active. i would like to offer you on free 60-minute service to keep your billing active. essentially that is 2 for the price of 1! please respond ""yes"" if you agree to keep your membership active or ""no"" if you do not agree to remain an active member. we appreciate your support! massage envy - text stop to opt out 

massage envy - text stop to opt out

thank you. i'm sorry to hear you do not want to keep your membership active. i am going to place your account on ""freeze"". you will not be charged any monthly dues while on freeze and you keep all your accrued services. we can touch base when we reopen to take your account off freeze so you can access your services. i will send you an email with the form to freeze your account. please confirm the best email for you. please stay safe and we look forward to seeing you when we reopen! massage envy - text stop to opt out 

massage envy - text stop to opt out

amandalyn,

cancel my membership permanently."
